assertion_id,rule,name,conclusion,basis
qimen_missing_person_cangshen,missing_person,九地太阴潜藏,潜藏候选：走失者有潜藏之象,《奇门遁甲元灵经·卷十八·占走失》：得九地、太阴有人潜藏
qimen_missing_person_jiutian,missing_person,九天远走,远走候选：走失者有远去之象,《奇门遁甲元灵经·卷十八·占走失》：得九天应远走去
qimen_missing_person_xuanwu,missing_person,玄武盗去,被盗候选：走失者有被人盗去之象,《奇门遁甲元灵经·卷十八·占走失》：得玄武被人盗去
qimen_missing_person_tengshe,missing_person,螣蛇羁绊,羁绊候选：走失者有盘诘羁留之象,《奇门遁甲元灵经·卷十八·占走失》：得螣蛇有人盘诘羁么
qimen_missing_person_zhuque,missing_person,朱雀有信,音信候选：走失者有音信之象,《奇门遁甲元灵经·卷十八·占走失》：得朱雀即有信
qimen_missing_person_gouchen,missing_person,勾陈勾引,勾引候选：走失者有内人勾引之象,《奇门遁甲元灵经·卷十八·占走失》：得勾陈有内人相勾引而去
qimen_capture_escape_escape_self_return,capture_escape,逃人生捕者,自归候选：逃人宫生伤门宫,《奇门遁甲元灵经·卷十八·占捕亡》：六合宫生伤门宫自归
qimen_capture_escape_escape_not_caught,capture_escape,逃人克捕者,不获候选：逃人宫克伤门宫,《奇门遁甲元灵经·卷十八·占捕亡》：六合宫克伤门宫不获
qimen_capture_escape_easy_capture,capture_escape,捕者克逃人,易获候选：伤门宫克六合宫,《奇门遁甲元灵经·卷十八·占捕亡》：伤门宫克六合宫易获
qimen_capture_escape_bribe_release,capture_escape,捕者生逃人,纵放候选：伤门宫生六合宫,《奇门遁甲元灵经·卷十八·占捕亡》：伤门宫生六合宫必得贿赂
qimen_capture_escape_collusion,capture_escape,捕逃同宫,串通候选：伤门与六合同宫,《奇门遁甲元灵经·卷十八·占捕亡》：伤门与六合同宫有通同欺蔽之意
qimen_capture_escape_tianwang_yin_low,capture_escape,天网阴时低位,可获候选：阴时六癸落一二三四宫,《奇门遁甲元灵经·卷十八·占捕亡》：六癸在一二三四宫可获，阴时可获
qimen_capture_escape_tianwang_high,capture_escape,天网高位,难获候选：六癸落五六七八九宫,《奇门遁甲元灵经·卷十八·占捕亡》：六癸在五六七八九宫不可获
qimen_capture_escape_tianwang_yang_low,capture_escape,天网阳时低位,难获候选：阳时六癸虽低仍属难获,《奇门遁甲元灵经·卷十八·占捕亡》：六癸天网阴时可获，阳时不可获
qimen_capture_escape_tianwang_direction,capture_escape,天网方向,追踪方向候选：六癸落宫即追往方向,《奇门遁甲元灵经·卷十八·占捕捉逃走》：须从天上六癸所加之处追赶
qimen_capture_escape_taibai,capture_escape,太白入荧,可获候选：太白入荧同宫,《奇门遁甲元灵经·卷十八·占捕亡》：太白入荧同宫必获
qimen_thief_capture_geng_year,thief_capture,年庚,年内捕获候选：天盘庚临年干,《奇门遁甲秘笈大全·卷九·占捕盗贼》：年格年获
qimen_thief_capture_geng_month,thief_capture,月庚,月内捕获候选：天盘庚临月干,《奇门遁甲秘笈大全·卷九·占捕盗贼》：月格月获
qimen_thief_capture_geng_day,thief_capture,日庚,日内捕获候选：天盘庚临日干,《奇门遁甲秘笈大全·卷九·占捕盗贼》：日格日获
qimen_thief_capture_geng_hour,thief_capture,时庚,当时捕获候选：天盘庚临时干,《奇门遁甲秘笈大全·卷九·占捕盗贼》：时格时获
qimen_thief_capture_geng_absent,thief_capture,无庚格,难获候选：四柱无庚格,《奇门遁甲秘笈大全·卷九·占捕盗贼》：不格不获
qimen_thief_capture_du_geng,thief_capture,杜门有庚格,杜门捕获候选：杜门落宫见庚格,《奇门遁甲秘笈大全·卷九·占捕盗贼》：杜门有格必获
qimen_thief_capture_du_direction,thief_capture,杜门捕获方向,捕获方向候选：以杜门落宫为捕获之方,《奇门遁甲秘笈大全·卷九·占捕盗贼》：杜门为捕获之方
qimen_thief_profile_noble,thief_profile,贵人盗,贵人作案候选：贼星旺相又得吉格,《奇门遁甲秘笈大全·卷九·占何人盗》：乘旺相气又得奇门吉格者贵人
qimen_thief_profile_common,thief_profile,小人盗,小人作案候选：贼星不乘旺相亦无吉格,《奇门遁甲秘笈大全·卷九·占何人盗》：不乘旺相气不得奇门吉格者小人
qimen_thief_profile_qian,thief_profile,乾宫老阳,画像候选：贼星落乾宫,《奇门遁甲秘笈大全·卷九·占何人盗》：乾为老阳
qimen_thief_profile_kun,thief_profile,坤宫老妇,画像候选：贼星落坤宫,《奇门遁甲秘笈大全·卷九·占何人盗》：坤为老妇
qimen_thief_profile_zhen,thief_profile,震宫长壮男,画像候选：贼星落震宫,《奇门遁甲秘笈大全·卷九·占何人盗》：震为长壮
qimen_thief_profile_kan,thief_profile,坎宫中男,画像候选：贼星落坎宫,《奇门遁甲秘笈大全·卷九·占何人盗》：坎为中男
qimen_thief_profile_gen,thief_profile,艮宫少男,画像候选：贼星落艮宫,《奇门遁甲秘笈大全·卷九·占何人盗》：艮为少男童年
qimen_thief_profile_xun,thief_profile,巽宫长女,画像候选：贼星落巽宫,《奇门遁甲秘笈大全·卷九·占何人盗》：巽为长女
qimen_thief_profile_li,thief_profile,离宫中女,画像候选：贼星落离宫,《奇门遁甲秘笈大全·卷九·占何人盗》：离为中女
qimen_thief_profile_dui,thief_profile,兑宫少女,画像候选：贼星落兑宫,《奇门遁甲秘笈大全·卷九·占何人盗》：兑为少女
qimen_thief_profile_inner,thief_profile,贼在内部,亲近之人候选：贼星落内盘,《奇门遁甲秘笈大全·卷九·占何人盗》：在内为亲近之人
qimen_thief_profile_outer,thief_profile,贼在外部,外人候选：贼星落外盘,《奇门遁甲秘笈大全·卷九·占何人盗》：在外为他人
qimen_lost_property_direction,lost_property,失物方向,方向候选：失物以时干落宫方向为准,《奇门遁甲元灵经·卷十八·占失物》：以落宫方向定之
qimen_lost_property_inner,lost_property,失物在内,近处候选：时干落内宫,《奇门遁甲元灵经·卷十八·占失物》：内四宫在宅中
qimen_lost_property_outer,lost_property,失物在外,远处候选：时干落外宫,《奇门遁甲元灵经·卷十八·占失物》：外四宫失落甚远
