id,事件,结论,依据,经典原文,女命官星得地格,食伤生财,官杀透,比劫旺,身强弱,官杀有力,官印相生,食伤旺,财星透有根,配偶星透,配偶星受克,大运配偶星,寡宿,夫妻宫被冲,性别,夫妻宫破,配偶星藏,配偶星混杂,比劫重,配偶星得地,官杀取清,配偶星现,桃花,伤官克官,配偶星得令,夫妻宫被合,夫妻宫被刑,夫妻宫被害,月令本气十神,伤官旺,食神旺,印星旺,印星透,七杀现,枭神夺食,比劫夺财,日主,日主长生状态,官杀得令,财坏印,印星现,官杀多,食伤透,财星得地,财星弱,财星得令,驿马,财星透,财库现,财星入墓,正财透,偏财透,财星现,伤官现,劫财旺,正印旺,偏财旺,七杀旺,偏印旺,正财旺
hun_104,婚姻状态,财藏支不透无根、比劫旺夺财、大运无财——婚缘受阻，婚难成,财藏支不透无根 + 比劫旺夺财 + 大运无财 → 婚缘受阻（M8：比劫夺财主婚缘难成）；财透干或得地者妻星显不在此列（0054/0087）,《滴天髓》比劫夺财 + 《渊海子平》财星论：财藏无根被劫主婚缘受阻,,,,,,,,,,0,,0,,,male,,1,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun_105,婚姻状态,财藏支、比劫不旺、大运得妻——婚可成,财藏支 + 比劫不旺 + 大运得妻 → 婚可成（M8）,《渊海子平》财星论：男命财星藏支有根主婚可成,,,,,,,,,,,,1,,,male,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun_105b,婚姻状态,财透干（妻星显）而比劫旺夺财、大运财至——妻星显而被劫，婚缘难成,财透干（妻星显）而比劫旺夺财 + 大运财至 → 妻星显而被劫，婚缘难成（《滴天髓》比劫夺财；0134/0139）,《滴天髓》比劫夺财,,,,,,,,,,1,,1,,,male,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun_105c,婚姻状态,财星藏支得地（妻星有根稳定）——婚可成,财星藏支得地（妻星有根稳定）→ 婚可成；紫微天机独坐夫妻宫者独身（由紫微铁断 hun_302 承担——双盘对照）,《渊海子平》财星论 + 《紫微斗数全书》夫妻宫：财藏得地婚成，天机独坐主独身,,,,,,,,,,0,,0,0,,male,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun_105d,婚姻状态,财星藏支得地而混杂（正偏财并见妻缘不专）——婚可成但多摩擦,财星藏支得地而混杂（正偏财并见妻缘不专）→ 已婚但多摩擦（0087 24-33 娶妻情绪化）；财透干者妻星显不判波折（0054 美满）,《渊海子平》正偏财混杂：妻缘不专主已婚而多摩擦,,,,,,,,,,0,,0,,,male,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun_105e,婚姻状态,婚姻复杂（女命官杀混杂难取清且夫星无根——感情多波折/婚恋反复）,女命官杀混杂无法取清（无合/冲解）**且夫星不得地** → 婚姻复杂多波折（《子平真诠》官杀混杂取清为贵）——夫星得地者混杂不减成婚（0153 官杀混杂但配偶星得地仍已婚育子），不适用此条；男命财混杂不适用,《子平真诠》官杀混杂取清为贵）——夫星得地者混杂不减成婚（0153 官杀混杂但配偶星得地仍已婚育子），不适用此条,,,,,,,,,,,,,,,female,,,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun_106,婚姻状态,财藏支、比劫不重——妻星得地，婚姻正常,财藏支 + 比劫不重 → 妻星得地，婚姻正常,《渊海子平》财星论：男命财星得地（藏支有根）主婚姻正常,,,,,,,,,,,,,0,,male,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun_107,婚姻状态,原局财星不现、大运得财——大运引动婚缘，婚可成,原局财星不现、大运得财 → 大运引动婚缘（《渊海子平》大运得财主婚）,《渊海子平》大运得财主婚）,,,,,,,,,,,,1,,,male,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun_108,婚姻状态,财星不现且大运无财——妻星全无，婚缘虚,财星不现且大运无财 → 妻星全无，婚缘虚,《渊海子平》财星论：男命财星不现主婚缘虚（妻星全无）,,,,,,,,,,,,0,,,male,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun_201,婚姻状态,官杀全无（夫星虚）、夫妻宫破——婚而不久,官杀全无（夫星虚）+ 夫妻宫破 → 婚而不久（0013）,《渊海子平》女命章：官杀全无主夫缘虚 + 《三命通会》夫妻宫破主婚而不久,,,,,,,,,,,,,,,female,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun_202,婚姻状态,官杀全无、无桃花——夫缘虚之象（独身/婚缘淡薄/婚恋不显）,官杀全无 + 无桃花 → 夫缘虚之象（独身/婚缘淡薄）（《渊海子平》女命无官杀主夫缘不显）；桃花旺者外情走离异（0013 桃花1离异 vs 0129 桃花0）。注：传统命理不断性向——婚恋取向属现代延伸，非经典断语，不作推断,《渊海子平》女命无官杀主夫缘不显）,,,,,,,,,,,,,,,female,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun_203,婚姻状态,伤官透干克官杀——夫星受克，夫缘不永（克夫/夫早亡）,伤官透干克官杀 → 夫星受克（夫早亡/克夫）（0122）,《渊海子平》伤官见官：女命伤官透干克官杀主克夫/夫早亡,,,,,,,,,,,,,,,female,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun_204,婚姻状态,女命官杀全无（夫缘虚）、伤官克官（克夫）——两象叠加，难婚独身之象,女命官杀全无（夫缘虚）+ 伤官克官（克夫）→ 两象叠加主独身难婚（《渊海子平》女命无官杀夫缘不显 + 伤官克官克夫）；配偶星得地者不在此列（得地=夫星实，已婚/克夫而非独身）,《渊海子平》女命无官杀夫缘不显 + 伤官克官克夫）,,,,,,,,,,,,,,,female,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun_205,婚姻状态,官杀混杂（得地）——夫星不专，婚姻多波折,官杀混杂（≥3且得地）→ 夫星不专，婚姻多波折（M7，《渊海子平》官杀混杂）,《渊海子平》官杀混杂）,,,,,,,,,,,,,,,female,,,1,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun_206,婚姻状态,官杀藏支弱且失令、比劫旺抗官——婚缘难成（恋情多但难婚）,官杀藏支弱且失令 + 比劫旺抗官 → 婚缘难成（恋情多但难婚）；官杀得令者夫星有力不在此列（0073/0143）,《渊海子平》女命章：官杀藏支弱而比劫抗官主婚缘难成,,,,,,,,,,0,,,,,female,0,,0,1,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun_207,婚姻状态,官杀得地但受克、夫妻宫破——婚变之象（比劫抗官+宫破）,官杀得地但受克 + 夫妻宫破 → 婚变（比劫抗官+宫破）,《渊海子平》女命章 + 《三命通会》夫妻宫论：官杀受克而夫妻宫破主婚变,,,,,,,,,,,1,,,,female,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun_208,婚姻状态,官杀得地、无食伤克官、无寡宿——夫星得地，婚姻正常,官杀得地 + 无食伤克官 + 无寡宿 → 夫星得地婚姻正常（《渊海子平》官杀得地主婚成）；食伤克官者夫星被制（0122 夫早亡）、寡宿者婚姻孤（0035 桃花+寡宿离异）,《渊海子平》官杀得地主婚成）,,,,,,,,,,,,,0,,female,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun_209,婚姻状态,官杀存而不得地、不受克——夫星平常但婚姻正常,官杀存而不得地、不受克 → 夫星平常但婚姻正常（0054）,《渊海子平》女命章：官杀存而不得地主夫星平常但婚姻正常,,,,,,,,,,,0,,,,female,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun_210,婚姻状态,女命食伤旺克夫星、官杀不现、桃花引婚恋——有婚而克夫,女命食伤旺克夫星 + 官杀不现 + 桃花红鸾引婚恋 → 有婚而克夫，婚变离异（《女命赋》食伤重者克夫；《三命通会》桃花主外情；0013 食伤5+桃花红鸾）,《女命赋》食伤重者克夫；《三命通会》桃花主外情,,,,,,,,1,,,,,,,female,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun_401,婚姻质量,夫妻宫被冲 → 婚姻波折（多婚/不稳信号）,夫妻宫逢冲主波折（《三命通会》夫妻宫论；参考 mingli-skills phase6 6.3）,《三命通会》夫妻宫论,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun_402,婚姻质量,夫妻宫被合 → 配偶心不在家/他人介入,夫妻宫逢合主配偶心移（《三命通会》；参考 mingli-skills phase6）,《三命通会》,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun_403,婚姻质量,夫妻宫被刑 → 婚姻矛盾/痛苦,夫妻宫逢刑主矛盾（《三命通会》；参考 mingli-skills phase6）,《三命通会》,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun_408b,婚姻状态,寡宿临命 + 配偶星得地 + 大运无引动 + 不混杂——婚缘迟/独身倾向（寡宿主孤；混杂者妻缘杂不主独身——0054 已婚）,寡宿华盖主孤——婚缘迟独身（《三命通会》寡宿主孤）,《三命通会》寡宿主孤,,,,,,,,,,,,0,1,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hun_410,婚姻质量,夫妻宫逢害 → 感情冷淡、婚姻隐匿伤害（暗伤隐忍，非骤变冲突）,夫妻宫逢害主感情冷淡/暗伤（《三命通会》夫妻宫论）：害主阴损隐忍，异于刑之矛盾、冲之变动——含蓄忍耐型不顺,《三命通会》夫妻宫论,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xg_501,性格,伤官配印 → 出风头/急性子被收敛，主象内敛有才、涵养、可靠（印系）,"伤官配印：正印透干制伤官（《子平真诠》伤官佩印）——性格取""内敛有才""不取""外向张扬""（fangfa/shishen.md）","《子平真诠》伤官佩印）——性格取""内敛有才""不取""外向张扬""（fangfa/shishen.md）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
xg_502,性格,七杀有制（食神制杀）→ 有胆识但不鲁莽，冲动被约束,"食神制杀：七杀冲动被化（《三命通会》食神制杀）——主象""有胆识不鲁莽""（fangfa/shishen.md）","《三命通会》食神制杀）——主象""有胆识不鲁莽""（fangfa/shishen.md）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
xg_503,性格,"枭神夺食 → 情绪压抑、多思多虑、才华被抑（先于""食神生财""取象）",枭神夺食主情绪受抑（《渊海子平》枭神夺食）——先于财象取（fangfa/shishen.md）,《渊海子平》枭神夺食）——先于财象取（fangfa/shishen.md）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
xg_504,性格,"劫财夺财 → 家道中落、钱财留不住、兄弟朋友分财（先于""财星当令""取象）",比劫夺财主财被分（《滴天髓》比劫夺财）——先于财旺取（fangfa/shishen.md）,《滴天髓》比劫夺财）——先于财旺取（fangfa/shishen.md）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
xg_601,性格,日主甲木 → 刚直正义、宁折不弯（阳木）,十干性格基调（参考 mingli-skills phase6 6.6）,《三命通会》十干性情：甲木主刚直正义、宁折不弯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,甲,,,,,,,,,,,,,,,,,,,,,,,
xg_602,性格,日主乙木 → 柔韧灵活、善变通（阴木）,十干性格基调（参考 mingli-skills phase6）,《三命通会》十干性情：乙木主柔韧灵活、善变通,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,乙,,,,,,,,,,,,,,,,,,,,,,,
xg_603,性格,日主丙火 → 热情慷慨、光明磊落（阳火）,十干性格基调（参考 mingli-skills phase6）,《三命通会》十干性情：丙火主热情慷慨、光明磊落,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,丙,,,,,,,,,,,,,,,,,,,,,,,
xg_604,性格,日主丁火 → 温和谨慎、慢热保守（阴火）,十干性格基调（参考 mingli-skills phase6）,《三命通会》十干性情：丁火主温和谨慎、慢热保守,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,丁,,,,,,,,,,,,,,,,,,,,,,,
xg_605,性格,日主戊土 → 厚重沉稳、固执（阳土）,十干性格基调（参考 mingli-skills phase6）,《三命通会》十干性情：戊土主厚重沉稳、固执,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,戊,,,,,,,,,,,,,,,,,,,,,,,
xg_606,性格,日主己土 → 温和善纳、学习力强（阴土）,十干性格基调（参考 mingli-skills phase6）,《三命通会》十干性情：己土主温和善纳、学习力强,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,己,,,,,,,,,,,,,,,,,,,,,,,
xg_607,性格,日主庚金 → 刚毅果断、豪侠仗义（阳金）,十干性格基调（参考 mingli-skills phase6）,《三命通会》十干性情：庚金主刚毅果断、豪侠仗义,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,庚,,,,,,,,,,,,,,,,,,,,,,,
xg_608,性格,日主辛金 → 精致温润、外柔内刚（阴金）,十干性格基调（参考 mingli-skills phase6）,《三命通会》十干性情：辛金主精致温润、外柔内刚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,辛,,,,,,,,,,,,,,,,,,,,,,,
xg_609,性格,日主壬水 → 胸怀开阔、冲劲强（阳水）,十干性格基调（参考 mingli-skills phase6）,《三命通会》十干性情：壬水主胸怀开阔、冲劲强,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,壬,,,,,,,,,,,,,,,,,,,,,,,
xg_610,性格,日主癸水 → 细腻敏锐、适应力强（阴水）,十干性格基调（参考 mingli-skills phase6）,《三命通会》十干性情：癸水主细腻敏锐、适应力强,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,癸,,,,,,,,,,,,,,,,,,,,,,,
xg_711,性格,日主长生在月令——生机旺盛、有活力,日主长生主生机活力（《三命通会》十二长生）,《三命通会》十二长生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,长生,,,,,,,,,,,,,,,,,,,,,,
xg_712,性格,日主帝旺在月令——身极强、刚健,日主帝旺主身极强刚健（《三命通会》十二长生）,《三命通会》十二长生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,帝旺,,,,,,,,,,,,,,,,,,,,,,
xg_713,性格,日主墓在月令——收藏内敛,日主墓主收藏内敛（《三命通会》十二长生）,《三命通会》十二长生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,墓,,,,,,,,,,,,,,,,,,,,,,
xg_714,性格,日主绝在月令——气衰、消沉,日主绝主气衰消沉（《三命通会》十二长生）,《三命通会》十二长生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,绝,,,,,,,,,,,,,,,,,,,,,,
xg_m01,月令主面,温和仁厚、守规矩、重名声（印主内敛）,月令本气为正印 → 性格主面仁厚守礼（《子平真诠》月令提纲主性；印星主德主静）,《子平真诠》月令提纲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,正印,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xg_m02,月令主面,内敛敏感、多思机巧、喜独处（枭神主偏）,月令本气为偏印 → 主面内敛敏感机巧（《渊海子平》枭神主偏门智慧、孤僻敏感；pan03/05/09/12/30 评测验证）,《渊海子平》枭神论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,偏印,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xg_m03,月令主面,聪明外露、爱表现、不拘小节（伤官主表达）,月令本气为伤官 → 主面聪明外露（《子平真诠》伤官主才艺表达）,《子平真诠》伤官,,,,,,,,,,,,,,,,,,,,,,,,,,,,,伤官,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xg_m04,月令主面,温和知足、善享福、口福好（食神主享）,月令本气为食神 → 主面温和知足（《渊海子平》食神主福禄）,《渊海子平》食神,,,,,,,,,,,,,,,,,,,,,,,,,,,,,食神,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xg_m05,月令主面,端正守礼、重规则、负责任（官星主正）,月令本气为正官 → 主面端正守礼（《子平真诠》正官主贵气守正；pan06 评测验证）,《子平真诠》正官,,,,,,,,,,,,,,,,,,,,,,,,,,,,,正官,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xg_m06a-not1,月令主面,原则性强、有魄力威严（身强七杀得用）,月令本气为七杀 + 身强 → 主面原则魄力威严（《子平真诠》七杀主威；pan32 身强有原则 评测验证）,《子平真诠》七杀,,,,,身强,,,,,,,,,,,,,,,,,,,,,,,,七杀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xg_m06a-not2,月令主面,原则性强、有魄力威严（身强七杀得用）,月令本气为七杀 + 身强 → 主面原则魄力威严（《子平真诠》七杀主威；pan32 身强有原则 评测验证）,《子平真诠》七杀,,,,,中和,,,,,,,,,,,,,,,,,,,,,,,,七杀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xg_m06b,月令主面,胆小压抑（身弱受制）,月令本气为七杀 + 身弱 → 主面胆小压抑（《子平真诠》七杀主威身弱受制；pan07 身弱胆小 评测验证）,《子平真诠》七杀,,,,,身弱,,,,,,,,,,,,,,,,,,,,,,,,七杀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xg_m07,月令主面,务实可靠、重物质、勤俭（正财主实）,月令本气为正财 → 主面务实可靠（《渊海子平》正财主勤俭务实；pan29 评测验证）,《渊海子平》正财,,,,,,,,,,,,,,,,,,,,,,,,,,,,,正财,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xg_m08,月令主面,慷慨大方、善交际、豪爽（偏财主阔）,月令本气为偏财 → 主面慷慨善交际（《渊海子平》偏财主豪爽慷慨）,《渊海子平》偏财,,,,,,,,,,,,,,,,,,,,,,,,,,,,,偏财,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xg_m09,月令主面,自立自强、重朋友、有主见（比肩主自立）,月令本气为比肩 → 主面自立有主见（《渊海子平》比肩主自立）,《渊海子平》比肩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,比肩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xg_m10,月令主面,好胜强势、行动力强、仗义（劫财主争强）,月令本气为劫财 → 主面好胜强势（《渊海子平》劫财主争强好胜；pan18/27 评测验证）,《渊海子平》劫财,,,,,,,,,,,,,,,,,,,,,,,,,,,,,劫财,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xue_201,学历层次,印星得月令而旺 + 官杀得令——官印相生成格，科甲至顶,印星得月令而旺 + 官杀得令（官印相生）→ 科甲至顶（《三命通会》官印相生主科甲；0027）,《三命通会》官印相生主科甲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
xue_202,学历层次,印星透干 + 官杀透干——印绶得用，成学有望,印星透干 + 官杀透干（官印相生）→ 印绶得用成学（《渊海子平》官印相生；0006）,《渊海子平》官印相生,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,
xue_203,学历层次,原局无印 + 食伤透 + 官杀透——秀气泄才 + 官星引学,原局无印 + 食伤透 + 官杀透 → 秀气泄才 + 官星引学（《三命通会》食伤主才学；0082）,《三命通会》食伤主才学,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,
xue_204,学历层次,原局无印 + 食伤透而有根——秀气泄才，成学之象,原局无印 + 食伤透而有根 → 秀气泄才成学（《三命通会》食伤主才学；0082）,《三命通会》食伤主才学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,,,,,,,,,,,,,,,,
xue_205,学历层次,财透坏印（印绶被财破）——学途中断,财透坏印（印绶被财破）→ 学途中断（《三命通会》财星坏印主学途受阻；0025）；印透者印重走小学（0057）,《三命通会》财星坏印主学途受阻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,
xue_206,学历层次,财坏印 + 官杀得令 + 食伤透（泄秀补救）——学可至中学,财坏印 + 官杀得令 + 食伤透（泄秀补救）→ 学至中学（0072）,《三命通会》财坏印学途受阻、食伤泄秀补救,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,
xue_207,学历层次,财坏印 + 官杀得令 + 无食伤泄秀——压力求学，学历中低,财坏印 + 官杀得令 + 无食伤泄秀 → 压力求学学历中低（0111）,《三命通会》财坏印学途受阻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,,,,,,,,,,,,,,,,,
xue_208,学历层次,印星旺（杂）主愚 + 官杀得令 + 无食伤泄秀——学历中低,印星旺（杂）主愚 + 官杀得令 + 无食伤泄秀 → 学历中低（《子平真诠》印绶太多则身强印杂；0156）,《子平真诠》印绶太多则身强印杂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,
xue_209,学历层次,印星旺而透 + 无官杀生印无食伤泄秀——印多主愚，学途浅,印星旺而透 + 无官杀生印无食伤泄秀 → 印多主愚、学至小学（《渊海子平》枭印夺食主愚；0057）,《渊海子平》枭印夺食主愚,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,
tz_105,房产,八字财星得地 + 印星旺 → 置业能力（财为房产、印为屋宅庇荫）,财星入墓/得地主房产，印星主屋宅（《三命通会》论田宅）,《三命通会》论田宅）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
tz_106b,房产,财星得地（八字）→ 有置产能力,八字财星得地为财可任（置产能力）——紫微田宅宫看房产（ziwei_tianzhai 承担——双盘对照）,《紫微斗数全书》田宅宫论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
cai_103,财运,有房产/积蓄（财得地藏支）,财得令而藏 → 财星得地，有不动产/积蓄（0104 二间公寓）,《渊海子平》财星论：财得地藏支主有房产/积蓄,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1,,,,,,,,,,,,,,
