因子,术数,组,原子,期望值
印星旺,bazi,2,结论,1
印星旺,bazi,2,依据,印旺衰从五行月令
印有气,bazi,1,"得令[正印,偏印]",1
印有气,bazi,1,结论,1
印有气,bazi,1,依据,印有气=得令或透干（命理通论）
印有气,bazi,2,"有根[正印,偏印]",1
印有气,bazi,2,"透[正印,偏印]",1
印有气,bazi,2,结论,1
印有气,bazi,2,依据,印有气=得令或透干（命理通论）
印有气,bazi,3,"透[正印,偏印]",1
印有气,bazi,3,结论,1
印有气,bazi,3,依据,印有气=得令或透干（命理通论）
印透,bazi,1,"透[正印,偏印]",1
印透,bazi,1,结论,1
印透,bazi,1,依据,印透干（事实）
官杀多,bazi,1,"得令[正官,七杀]",1
官杀多,bazi,1,结论,1
官杀多,bazi,1,依据,官杀多=官杀得月令而旺（《子平真诠》）
官杀多,bazi,2,"有根[正官,七杀]",1
官杀多,bazi,2,"透[正官,七杀]",1
官杀多,bazi,2,结论,1
官杀多,bazi,2,依据,官杀多=官杀得月令而旺（《子平真诠》）
官杀透,bazi,1,"透[正官,七杀]",1
官杀透,bazi,1,结论,1
官杀透,bazi,1,依据,官杀透干（事实）
官杀得令,bazi,1,"得令[正官,七杀]",1
官杀得令,bazi,1,结论,1
官杀得令,bazi,1,依据,官杀得月令（得令标记）
官杀有力,bazi,1,"得令[正官,七杀]",1
官杀有力,bazi,1,"现[正官,七杀]",1
官杀有力,bazi,1,结论,1
官杀有力,bazi,1,依据,官杀有力=现且得令或有根（命理通论）
官杀有力,bazi,2,"有根[正官,七杀]",1
官杀有力,bazi,2,"现[正官,七杀]",1
官杀有力,bazi,2,结论,1
官杀有力,bazi,2,依据,官杀有力=现且得令或有根（命理通论）
食伤透,bazi,1,"透[食神,伤官]",1
食伤透,bazi,1,结论,1
食伤透,bazi,1,依据,食伤透干（事实）
食伤有根,bazi,1,"有根[食神,伤官]",1
食伤有根,bazi,1,结论,1
食伤有根,bazi,1,依据,食伤通根（《渊海子平》秀气须通根）——学业 xue_101 用
食伤泄秀,bazi,1,"现[食神,伤官]",1
食伤泄秀,bazi,1,"直读[yongshen.fu_yi.qiangruo,身强]",1
食伤泄秀,bazi,1,结论,1
食伤泄秀,bazi,1,依据,身强食伤泄秀（《滴天髓》秀气流通）
财透,bazi,1,"透[正财,偏财]",1
财透,bazi,1,结论,1
财透,bazi,1,依据,财透干（事实）
财多,bazi,1,"得令[正财,偏财]",1
财多,bazi,1,结论,1
财多,bazi,1,依据,财多=财得月令而旺（《子平真诠》）
财多,bazi,2,"有根[正财,偏财]",1
财多,bazi,2,"透[正财,偏财]",1
财多,bazi,2,结论,1
财多,bazi,2,依据,财多=财得月令而旺（《子平真诠》）
财旺,bazi,1,"得令[正财,偏财]",1
财旺,bazi,1,结论,1
财旺,bazi,1,依据,财旺衰从五行月令（《子平真诠》）
财旺,bazi,2,"有根[正财,偏财]",1
财旺,bazi,2,"透[正财,偏财]",1
财旺,bazi,2,结论,1
财旺,bazi,2,依据,财旺衰从五行月令（《子平真诠》）
财旺,bazi,3,"透[正财,偏财]",1
财旺,bazi,3,结论,1
财旺,bazi,3,依据,财旺衰从五行月令（《子平真诠》）
财弱,bazi,1,"得令[正财,偏财]",0
财弱,bazi,1,"有根[正财,偏财]",0
财弱,bazi,1,"透[正财,偏财]",0
财弱,bazi,1,结论,1
财弱,bazi,1,依据,财弱=财失月令（《子平真诠》）
财透有根,bazi,1,"有根[正财,偏财]",1
财透有根,bazi,1,"透[正财,偏财]",1
财透有根,bazi,1,结论,1
财透有根,bazi,1,依据,财透干且有根，财气通门户（《滴天髓》）
财得令,bazi,1,"得令[正财,偏财]",1
财得令,bazi,1,结论,1
财得令,bazi,1,依据,财得月令（得令标记）
配偶星透干,bazi,1,透[配偶星],1
配偶星透干,bazi,1,结论,1
配偶星透干,bazi,1,依据,"配偶星透干为显（《渊海子平》""财星透干方为妻星得地""）"
配偶星藏支,bazi,1,藏[配偶星],1
配偶星藏支,bazi,1,结论,1
配偶星藏支,bazi,1,依据,配偶星藏支为待（命理通论）
配偶星得地,bazi,1,有根[配偶星],1
配偶星得地,bazi,1,结论,1
配偶星得地,bazi,1,依据,配偶星得地有根（命理通论）
正财透,bazi,1,透[正财],1
正财透,bazi,1,结论,1
正财透,bazi,1,依据,正财透干（稳定收入信号）
偏财透,bazi,1,透[偏财],1
偏财透,bazi,1,结论,1
偏财透,bazi,1,依据,偏财透干（投资/副业信号）
财星得地,bazi,1,"有根[正财,偏财]",1
财星得地,bazi,1,结论,1
财星得地,bazi,1,依据,财星得地有根（命理通论）——房产置业看财星
夫妻宫被冲,bazi,1,夫妻宫状态[冲],1
夫妻宫被冲,bazi,1,结论,1
夫妻宫被冲,bazi,1,依据,日支（夫妻宫）被六冲——婚姻波折（《三命通会》夫妻宫论；参考 mingli-skills phase6）
夫妻宫被合,bazi,1,夫妻宫状态[合],1
夫妻宫被合,bazi,1,结论,1
夫妻宫被合,bazi,1,依据,日支被六合——配偶心不在家/他人介入（《三命通会》；参考 mingli-skills phase6）
夫妻宫被刑,bazi,1,夫妻宫状态[刑],1
夫妻宫被刑,bazi,1,结论,1
夫妻宫被刑,bazi,1,依据,日支被刑——婚姻矛盾（《三命通会》；参考 mingli-skills phase6）
夫妻宫安静,bazi,1,夫妻宫状态[静],1
夫妻宫安静,bazi,1,结论,1
夫妻宫安静,bazi,1,依据,日支安静——婚姻稳定（《三命通会》；参考 mingli-skills phase6）
日支桃花,bazi,1,日支类型[桃花],1
日支桃花,bazi,1,结论,1
日支桃花,bazi,1,依据,日支四桃花（子午卯酉）——配偶貌好/有魅力（参考 mingli-skills phase6）
日支驿马,bazi,1,日支类型[驿马],1
日支驿马,bazi,1,结论,1
日支驿马,bazi,1,依据,日支四驿马（寅申巳亥）——配偶精明能干/善交际（参考 mingli-skills phase6）
日支墓库,bazi,1,日支类型[墓库],1
日支墓库,bazi,1,结论,1
日支墓库,bazi,1,依据,日支四墓库（辰戌丑未）——配偶朴素务实/踏实（参考 mingli-skills phase6）
财库现,bazi,1,财库现,1
财库现,bazi,1,结论,1
财库现,bazi,1,依据,日干财星五行之墓库支（金库丑/木库未/水库辰/火库戌/土库辰）在命局——《三命通会》财库论
财星入墓,bazi,1,财星入墓,1
财星入墓,bazi,1,结论,1
财星入墓,bazi,1,依据,财星坐墓库支（财藏库中——蓄财）——《三命通会》财库论
配偶星得令,bazi,1,得令[配偶星],1
配偶星得令,bazi,1,结论,1
配偶星得令,bazi,1,依据,配偶星得月令（夫/妻星得令有力——得令者夫星强，不轻断婚缘难成）（《子平真诠》月令司权）
配偶星不现,bazi,1,现[配偶星],0
配偶星不现,bazi,1,结论,1
配偶星不现,bazi,1,依据,配偶星不现=四柱无（命理通论）
配偶星受克,bazi,1,克者旺[配偶星],1
配偶星受克,bazi,1,得令[配偶星],0
配偶星受克,bazi,1,有根[配偶星],0
配偶星受克,bazi,1,透[配偶星],0
配偶星受克,bazi,1,结论,1
配偶星受克,bazi,1,依据,配偶星受克主婚损——克配偶星之五行得令而旺、配偶星失令（《滴天髓》）
配偶星混杂,bazi,1,现[偏财],1
配偶星混杂,bazi,1,现[正财],1
配偶星混杂,bazi,1,结论,1
配偶星混杂,bazi,1,依据,财星混杂=正偏财并见（命理通论）
父星旺,bazi,1,得令[偏财],1
父星旺,bazi,1,结论,1
父星旺,bazi,1,依据,父星（偏财）旺衰从五行月令
父星旺,bazi,2,有根[偏财],1
父星旺,bazi,2,透[偏财],1
父星旺,bazi,2,结论,1
父星旺,bazi,2,依据,父星（偏财）旺衰从五行月令
父星弱,bazi,1,得令[偏财],0
父星弱,bazi,1,有根[偏财],0
父星弱,bazi,1,透[偏财],0
父星弱,bazi,1,结论,1
父星弱,bazi,1,依据,父星（偏财）失令为弱
父星得地,bazi,1,有根[偏财],1
父星得地,bazi,1,结论,1
父星得地,bazi,1,依据,父星得地有根
母星旺,bazi,1,"得令[正印,偏印]",1
母星旺,bazi,1,结论,1
母星旺,bazi,1,依据,母星（印）旺衰从五行月令
母星旺,bazi,2,"有根[正印,偏印]",1
母星旺,bazi,2,"透[正印,偏印]",1
母星旺,bazi,2,结论,1
母星旺,bazi,2,依据,母星（印）旺衰从五行月令
母星弱,bazi,1,"得令[正印,偏印]",0
母星弱,bazi,1,"有根[正印,偏印]",0
母星弱,bazi,1,"透[正印,偏印]",0
母星弱,bazi,1,结论,1
母星弱,bazi,1,依据,母星（印）失令为弱
母星得令,bazi,1,"得令[正印,偏印]",1
母星得令,bazi,1,结论,1
母星得令,bazi,1,依据,母星得月令
母星得地,bazi,1,"有根[正印,偏印]",1
母星得地,bazi,1,结论,1
母星得地,bazi,1,依据,母星得地有根
子女星得地,bazi,1,有根[子女星],1
子女星得地,bazi,1,结论,1
子女星得地,bazi,1,依据,子女星得地（命理通论）
伤官克官,bazi,1,"克[伤官,正官]",1
伤官克官,bazi,1,得令[伤官],1
伤官克官,bazi,1,"直读[gender,female]",1
伤官克官,bazi,1,结论,1
伤官克官,bazi,1,依据,女命伤官旺而克官（《三命通会》伤官见官为祸百端）——克夫语义限女命
伤官克官,bazi,2,"克[伤官,正官]",1
伤官克官,bazi,2,有根[伤官],1
伤官克官,bazi,2,"直读[gender,female]",1
伤官克官,bazi,2,透[伤官],1
伤官克官,bazi,2,结论,1
伤官克官,bazi,2,依据,女命伤官旺而克官（《三命通会》伤官见官为祸百端）——克夫语义限女命
食伤克官,bazi,1,"克[伤官,官杀]",1
食伤克官,bazi,1,得令[伤官],1
食伤克官,bazi,1,"直读[gender,female]",1
食伤克官,bazi,1,结论,1
食伤克官,bazi,1,依据,女命伤官旺而克官杀（《三命通会》伤官见官）——只算伤官，食神制杀非克官（食神温和不生祸）
食伤克官,bazi,2,"克[伤官,官杀]",1
食伤克官,bazi,2,有根[伤官],1
食伤克官,bazi,2,"直读[gender,female]",1
食伤克官,bazi,2,透[伤官],1
食伤克官,bazi,2,结论,1
食伤克官,bazi,2,依据,女命伤官旺而克官杀（《三命通会》伤官见官）——只算伤官，食神制杀非克官（食神温和不生祸）
枭神夺食,bazi,1,"克[印,食伤]",1
枭神夺食,bazi,1,"得令[正印,偏印]",1
枭神夺食,bazi,1,"现[食神,伤官]",1
枭神夺食,bazi,1,结论,1
枭神夺食,bazi,1,依据,枭神夺食=印星（正偏印）旺而克食伤（福禄之源被夺）（《渊海子平》枭神夺食）——印星类旺克食伤，0121 正印透偏印藏火旺克食神辛金
枭神夺食,bazi,2,"克[印,食伤]",1
枭神夺食,bazi,2,"有根[正印,偏印]",1
枭神夺食,bazi,2,"现[食神,伤官]",1
枭神夺食,bazi,2,"透[正印,偏印]",1
枭神夺食,bazi,2,结论,1
枭神夺食,bazi,2,依据,枭神夺食=印星（正偏印）旺而克食伤（福禄之源被夺）（《渊海子平》枭神夺食）——印星类旺克食伤，0121 正印透偏印藏火旺克食神辛金
羊刃驾杀,bazi,1,"含[shen_sha,羊刃]",1
羊刃驾杀,bazi,1,现[七杀],1
羊刃驾杀,bazi,1,结论,1
羊刃驾杀,bazi,1,依据,羊刃驾杀=羊刃+七杀（《三命通会》）
伤官见官,bazi,1,现[伤官],1
伤官见官,bazi,1,现[正印],0
伤官见官,bazi,1,现[正官],1
伤官见官,bazi,1,结论,1
伤官见官,bazi,1,依据,伤官见官无印通关则破（《三命通会》）
官印相生,bazi,1,"透[正印,偏印]",1
官印相生,bazi,1,"透[正官,七杀]",1
官印相生,bazi,1,结论,1
官印相生,bazi,1,依据,官印相生（《子平真诠》）
比劫夺财,bazi,1,"得令[正财,偏财]",0
比劫夺财,bazi,1,"得令[比肩,劫财]",1
比劫夺财,bazi,1,"有根[正财,偏财]",0
比劫夺财,bazi,1,"透[正财,偏财]",0
比劫夺财,bazi,1,结论,1
比劫夺财,bazi,1,依据,比劫旺而财弱，比劫夺财（《滴天髓》比劫夺财）
比劫夺财,bazi,2,"得令[正财,偏财]",0
比劫夺财,bazi,2,"有根[正财,偏财]",0
比劫夺财,bazi,2,"有根[比肩,劫财]",1
比劫夺财,bazi,2,"透[正财,偏财]",0
比劫夺财,bazi,2,"透[比肩,劫财]",1
比劫夺财,bazi,2,结论,1
比劫夺财,bazi,2,依据,比劫旺而财弱，比劫夺财（《滴天髓》比劫夺财）
比劫伤官,bazi,1,"得令[比肩,劫财]",1
比劫伤官,bazi,1,现[伤官],1
比劫伤官,bazi,1,结论,1
比劫伤官,bazi,1,依据,比劫旺+伤官，群劫夺财泄秀（命理通论）
比劫伤官,bazi,2,"有根[比肩,劫财]",1
比劫伤官,bazi,2,现[伤官],1
比劫伤官,bazi,2,"透[比肩,劫财]",1
比劫伤官,bazi,2,结论,1
比劫伤官,bazi,2,依据,比劫旺+伤官，群劫夺财泄秀（命理通论）
食伤生财,bazi,1,"有根[正财,偏财]",1
食伤生财,bazi,1,"透[食神,伤官]",1
食伤生财,bazi,1,结论,1
食伤生财,bazi,1,依据,食伤生财=食伤透而财有根（《滴天髓》食伤生财）
财坏印,bazi,1,"克[财,印]",1
财坏印,bazi,1,"透[正财,偏财]",1
财坏印,bazi,1,结论,1
财坏印,bazi,1,依据,财透干克印为实坏印（《渊海子平》财坏印）——财藏支虚克不坏印（财不透则印不受实克，官印相生仍可成学；0006 财藏大学 vs 0025 财透中学）
财印相战,bazi,1,"现[正印,偏印]",1
财印相战,bazi,1,"现[正财,偏财]",1
财印相战,bazi,1,结论,1
财印相战,bazi,1,依据,财印相战=财印并见（命理通论）
身强,bazi,1,"直读[yongshen.fu_yi.qiangruo,含身强]",1
身强,bazi,1,结论,1
身强,bazi,1,依据,引擎身强弱
身弱,bazi,1,"直读[yongshen.fu_yi.qiangruo,含身弱]",1
身弱,bazi,1,结论,1
身弱,bazi,1,依据,引擎身强弱
身中和,bazi,1,"直读[yongshen.fu_yi.qiangruo,中和]",1
身中和,bazi,1,结论,1
身中和,bazi,1,依据,引擎身强弱
身强中和,bazi,1,"直读[yongshen.fu_yi.qiangruo,含身强或中和]",1
身强中和,bazi,1,结论,1
身强中和,bazi,1,依据,引擎身强弱
从杀格,bazi,1,"直读[yongshen.ge_ju.ge_ju,含从杀]",1
从杀格,bazi,1,结论,1
从杀格,bazi,1,依据,引擎格局
月令格,bazi,1,"直读[yongshen.ge_ju.ge_ju,任意]",1
月令格,bazi,1,结论,1
月令格,bazi,1,依据,月令取格（《子平真诠》）
格神透干,bazi,1,格神透[],1
格神透干,bazi,1,结论,1
格神透干,bazi,1,依据,格神透干成格（《子平真诠》）
格神有根,bazi,1,格神根[],1
格神有根,bazi,1,结论,1
格神有根,bazi,1,依据,格神有根（《子平真诠》）
春生,bazi,1,"直读[yongshen.tiao_hou.season,春]",1
春生,bazi,1,结论,1
春生,bazi,1,依据,引擎调候季节（《穷通宝鉴》春木喜火泄秀）
秋生,bazi,1,"直读[yongshen.tiao_hou.season,秋]",1
秋生,bazi,1,结论,1
秋生,bazi,1,依据,引擎调候季节（《穷通宝鉴》秋金喜火制炼）
冬生,bazi,1,"直读[yongshen.tiao_hou.season,冬]",1
冬生,bazi,1,结论,1
冬生,bazi,1,依据,引擎调候季节
夏生,bazi,1,"直读[yongshen.tiao_hou.season,夏]",1
夏生,bazi,1,结论,1
夏生,bazi,1,依据,引擎调候季节
寒局无火,bazi,1,"直读[yongshen.tiao_hou.season,冬]",1
寒局无火,bazi,1,缺[火],1
寒局无火,bazi,1,结论,1
寒局无火,bazi,1,依据,冬生无火为寒局（《穷通宝鉴》调候）
燥局无水,bazi,1,"直读[yongshen.tiao_hou.season,夏]",1
燥局无水,bazi,1,缺[水],1
燥局无水,bazi,1,结论,1
燥局无水,bazi,1,依据,夏生无水为燥局（《穷通宝鉴》调候）
日主五行,bazi,1,"直读[ri_gan_wx,任意]",1
日主五行,bazi,1,结论,1
日主五行,bazi,1,依据,引擎日干五行
年柱官杀攻身,bazi,1,年柱官杀[],1
年柱官杀攻身,bazi,1,结论,1
年柱官杀攻身,bazi,1,依据,年柱官杀坐年攻身（命理通论）
天机独坐夫妻宫,ziwei,1,"宫含[夫妻宫,天机,唯一主星]",1
天机独坐夫妻宫,ziwei,1,结论,1
天机独坐夫妻宫,ziwei,1,依据,天机独坐夫妻宫姻缘淡薄（《紫微斗数》）
贪狼化忌,ziwei,1,"宫含[本命,贪狼,化忌]",1
贪狼化忌,ziwei,1,结论,1
贪狼化忌,ziwei,1,依据,贪狼化忌桃花受阻（《紫微斗数》）
疾厄宫化忌,ziwei,1,"宫含[疾厄宫,任意,化忌]",1
疾厄宫化忌,ziwei,1,结论,1
疾厄宫化忌,ziwei,1,依据,疾厄宫化忌主疾（《紫微斗数》）
疾厄宫主星陷,ziwei,1,"宫含[疾厄宫,任意,落陷]",1
疾厄宫主星陷,ziwei,1,结论,1
疾厄宫主星陷,ziwei,1,依据,疾厄宫主星落陷（《紫微斗数》）
财帛宫煞,ziwei,1,"宫含[财帛宫,煞星,任意]",1
财帛宫煞,ziwei,1,结论,1
财帛宫煞,ziwei,1,依据,财帛宫见煞（《紫微斗数》）
子女宫空,ziwei,1,"宫含[子女宫,无主星,任意]",1
子女宫空,ziwei,1,结论,1
子女宫空,ziwei,1,依据,子女宫空（《紫微斗数》）
子女宫煞,ziwei,1,"宫含[子女宫,煞星,任意]",1
子女宫煞,ziwei,1,结论,1
子女宫煞,ziwei,1,依据,子女宫煞（擎羊陀罗等）主刑克损子（《紫微斗数全书》子女宫论；0084 擎羊仅一子）
子女宫吉星,ziwei,1,"宫含[子女宫,武曲,任意]",1
子女宫吉星,ziwei,1,结论,1
子女宫吉星,ziwei,1,依据,子女宫吉星（武曲天府太阴禄存天相天梁）主子女多/有出息（《紫微斗数全书》子女宫论；0144 武曲天府禄存三子）
子女宫吉星,ziwei,2,"宫含[子女宫,天府,任意]",1
子女宫吉星,ziwei,2,结论,1
子女宫吉星,ziwei,2,依据,子女宫吉星（武曲天府太阴禄存天相天梁）主子女多/有出息（《紫微斗数全书》子女宫论；0144 武曲天府禄存三子）
子女宫吉星,ziwei,3,"宫含[子女宫,太阴,任意]",1
子女宫吉星,ziwei,3,结论,1
子女宫吉星,ziwei,3,依据,子女宫吉星（武曲天府太阴禄存天相天梁）主子女多/有出息（《紫微斗数全书》子女宫论；0144 武曲天府禄存三子）
子女宫吉星,ziwei,4,"宫含[子女宫,禄存,任意]",1
子女宫吉星,ziwei,4,结论,1
子女宫吉星,ziwei,4,依据,子女宫吉星（武曲天府太阴禄存天相天梁）主子女多/有出息（《紫微斗数全书》子女宫论；0144 武曲天府禄存三子）
子女宫吉星,ziwei,5,"宫含[子女宫,天相,任意]",1
子女宫吉星,ziwei,5,结论,1
