assertion_id,rule,side,事件,结论,依据,经典原文
fam_109-not2,出身,bazi,出身贫富,财星得地但身不任——普通盈余不多,财星得地但身不任 → 普通盈余不多（F5）；财坏印者贫穷（0071）、身强任财者小康（0036）,《三命通会》富屋贫人：财透有根而身不任主普通盈余不多
fam_110,出身,bazi,出身贫富,身强财弱（财不透）——有稳定来源非大富,身强财弱（财不透）→ 有稳定来源非大富（F6）；身强财透有根者小康（0036）,《滴天髓》身强财弱：身强财不透主有稳定来源非大富（普通）
fam_111,出身,bazi,出身贫富,财弱身弱——出身寒微（兜底）,财弱身弱 → 出身寒微（兜底）,《渊海子平》比劫夺财：财弱比劫重主家道中落（贫穷）
shi_102,十神,bazi,事业档位,官透 + 比劫旺 + 无食伤生财 + 非主妇——循规安分，一份工做到退休,官透 + 比劫旺 + 无食伤生财 + 非主妇 → 循规安分，一份工做到退休（S5）；女命主妇者不判打工（0016）,《子平真诠》官印论：官透比劫旺而无食伤生财主循规安分（稳定）
shi_103,十神,bazi,事业档位,技术/专业,身弱食伤泄秀 → 以专业技能立身（工程师/专家/手艺）（《滴天髓》食伤泄秀）,《滴天髓》食伤泄秀）
shi_104,十神,bazi,事业档位,食伤生财 + 官杀有力身强——经商兼掌事,食伤生财 + 官杀有力身强 → 经商兼掌事,《滴天髓》食伤生财：食伤生财而比劫旺主老板兼管理层
shi_105,十神,bazi,事业档位,食伤生财（食伤透+财有根）——自我经营,食伤生财（食伤透+财有根）→ 自我经营,《滴天髓》食伤生财：食伤生财主经商/创业（老板）
shi_108,十神,bazi,事业档位,财透有根 + 非主妇——工作有财,财透有根 + 非主妇 → 工作有财；女命主妇者不判打工（0016）,《滴天髓》财星论：财透有根而无比劫夺财主工作有积蓄（打工）
shi_109,十神,bazi,事业档位,身弱无专长、无成格之象——普通务工（兜底）,身弱无格局无专长——普通务工（《子平真诠》格局无成）,《子平真诠》十神论：官杀/食伤/财皆不显主普通打工
hun_101,十神,bazi,婚姻状态,财星透干且不受克、大运无财星引动、夫妻宫无冲无寡宿——妻星得地，婚可成且稳定（宫冲/寡宿者婚可成但波折/晚——星宫同参，不判稳定）,男命财星透干且不受克 → 婚可成（《渊海子平》财星透干方为妻星得地）；夫妻宫逢冲/寡宿者婚姻过程波折或婚缘迟——星吉宫凶并存时星宫同参（《三命通会》星宫同参），不判稳定,"《渊海子平》""财星透干方为妻星得地""）"
hun_101b,十神,bazi,婚姻状态,配偶星透干（星吉）但夫妻宫被冲（宫凶）——婚可成但过程波折/多变（星宫同参）,星宫同参：配偶星透干主婚能成（《渊海子平》财星透干），夫妻宫逢冲主婚姻过程波折（《三命通会》夫妻宫冲）——星吉宫凶并存，婚可成而波折,《三命通会》星宫同参
hun_102,十神,bazi,婚姻状态,财透而比劫夺财、夫妻宫破——婚缘受损，婚而不久,财透但比劫夺财 + 夫妻宫破 → 婚变（《滴天髓》比劫夺财主婚缘受损）,《滴天髓》比劫夺财主婚缘受损）
hun_103,十神,bazi,婚姻状态,财藏支不透、比劫旺夺财、大运得妻——婚可成但多摩擦,财藏支不透 + 比劫旺夺财 + 大运得妻 → 婚可成但多摩擦；财透干者妻星显被劫（走未婚）、财混杂者妻缘不专（0134/0139）,《滴天髓》比劫夺财：男命财星为妻，比劫旺夺财主婚可成而多摩擦
hun_104,十神,bazi,婚姻状态,财藏支不透无根、比劫旺夺财、大运无财——婚缘受阻，婚难成,财藏支不透无根 + 比劫旺夺财 + 大运无财 → 婚缘受阻（M8：比劫夺财主婚缘难成）；财透干或得地者妻星显不在此列（0054/0087）,《滴天髓》比劫夺财 + 《渊海子平》财星论：财藏无根被劫主婚缘受阻
hun_105,十神,bazi,婚姻状态,财藏支、比劫不旺、大运得妻——婚可成,财藏支 + 比劫不旺 + 大运得妻 → 婚可成（M8）,《渊海子平》财星论：男命财星藏支有根主婚可成
hun_105b,十神,bazi,婚姻状态,财透干（妻星显）而比劫旺夺财、大运财至——妻星显而被劫，婚缘难成,财透干（妻星显）而比劫旺夺财 + 大运财至 → 妻星显而被劫，婚缘难成（《滴天髓》比劫夺财；0134/0139）,《滴天髓》比劫夺财
hun_105c,十神,bazi,婚姻状态,财星藏支得地（妻星有根稳定）——婚可成,财星藏支得地（妻星有根稳定）→ 婚可成；紫微天机独坐夫妻宫者独身（由紫微铁断 hun_302 承担——双盘对照）,《渊海子平》财星论 + 《紫微斗数全书》夫妻宫：财藏得地婚成，天机独坐主独身
hun_105d,十神,bazi,婚姻状态,财星藏支得地而混杂（正偏财并见妻缘不专）——婚可成但多摩擦,财星藏支得地而混杂（正偏财并见妻缘不专）→ 已婚但多摩擦（0087 24-33 娶妻情绪化）；财透干者妻星显不判波折（0054 美满）,《渊海子平》正偏财混杂：妻缘不专主已婚而多摩擦
hun_105e,十神,bazi,婚姻状态,婚姻复杂（女命官杀混杂难取清且夫星无根——感情多波折/婚恋反复）,女命官杀混杂无法取清（无合/冲解）**且夫星不得地** → 婚姻复杂多波折（《子平真诠》官杀混杂取清为贵）——夫星得地者混杂不减成婚（0153 官杀混杂但配偶星得地仍已婚育子），不适用此条；男命财混杂不适用,《子平真诠》官杀混杂取清为贵）——夫星得地者混杂不减成婚（0153 官杀混杂但配偶星得地仍已婚育子），不适用此条
hun_106,十神,bazi,婚姻状态,财藏支、比劫不重——妻星得地，婚姻正常,财藏支 + 比劫不重 → 妻星得地，婚姻正常,《渊海子平》财星论：男命财星得地（藏支有根）主婚姻正常
hun_107,十神,bazi,婚姻状态,原局财星不现、大运得财——大运引动婚缘，有婚恋机会（原局配偶星不现，婚缘薄，能否成婚视引动力度）,大运得财引动婚缘（《渊海子平》财星论）——但原局不现则婚缘薄，机会不等于已成,《渊海子平》大运得财主婚）
hun_108,十神,bazi,婚姻状态,财星不现且大运无财——妻星全无，婚缘虚,财星不现且大运无财 → 妻星全无，婚缘虚,《渊海子平》财星论：男命财星不现主婚缘虚（妻星全无）
hun_201,十神,bazi,婚姻状态,官杀全无（夫星虚）、夫妻宫破——婚而不久,官杀全无（夫星虚）+ 夫妻宫破 → 婚而不久（0013）,《渊海子平》女命章：官杀全无主夫缘虚 + 《三命通会》夫妻宫破主婚而不久
hun_202,十神,bazi,婚姻状态,官杀全无、无桃花——夫缘虚之象（独身/婚缘淡薄/婚恋不显）,官杀全无 + 无桃花 → 夫缘虚之象（独身/婚缘淡薄）（《渊海子平》女命无官杀主夫缘不显）；桃花旺者外情走离异（0013 桃花1离异 vs 0129 桃花0）。注：传统命理不断性向——婚恋取向属现代延伸，非经典断语，不作推断,《渊海子平》女命无官杀主夫缘不显）
hun_203,十神,bazi,婚姻状态,伤官透干克官杀——夫星受克，夫缘不永（克夫/夫早亡）,伤官透干克官杀 → 夫星受克（夫早亡/克夫）（0122）,《渊海子平》伤官见官：女命伤官透干克官杀主克夫/夫早亡
hun_204,十神,bazi,婚姻状态,女命官杀全无（夫缘虚）、伤官克官（克夫）——两象叠加，难婚独身之象,女命官杀全无（夫缘虚）+ 伤官克官（克夫）→ 两象叠加主独身难婚（《渊海子平》女命无官杀夫缘不显 + 伤官克官克夫）；配偶星得地者不在此列（得地=夫星实，已婚/克夫而非独身）,《渊海子平》女命无官杀夫缘不显 + 伤官克官克夫）
hun_205,十神,bazi,婚姻状态,官杀混杂（得地）——夫星不专，婚姻多波折,官杀混杂（≥3且得地）→ 夫星不专，婚姻多波折（M7，《渊海子平》官杀混杂）,《渊海子平》官杀混杂）
hun_206,十神,bazi,婚姻状态,官杀藏支弱且失令、比劫旺抗官——婚缘难成（恋情多但难婚）,官杀藏支弱且失令 + 比劫旺抗官 → 婚缘难成（恋情多但难婚）；官杀得令者夫星有力不在此列（0073/0143）,《渊海子平》女命章：官杀藏支弱而比劫抗官主婚缘难成
hun_207,十神,bazi,婚姻状态,官杀得地但受克、夫妻宫破——婚变之象（比劫抗官+宫破）,官杀得地但受克 + 夫妻宫破 → 婚变（比劫抗官+宫破）,《渊海子平》女命章 + 《三命通会》夫妻宫论：官杀受克而夫妻宫破主婚变
hun_208,十神,bazi,婚姻状态,官杀得地、无食伤克官、无寡宿——夫星得地，婚姻正常,官杀得地 + 无食伤克官 + 无寡宿 → 夫星得地婚姻正常（《渊海子平》官杀得地主婚成）；食伤克官者夫星被制（0122 夫早亡）、寡宿者婚姻孤（0035 桃花+寡宿离异）,《渊海子平》官杀得地主婚成）
hun_209,十神,bazi,婚姻状态,官杀存而不得地、不受克——夫星平常但婚姻正常,官杀存而不得地、不受克 → 夫星平常但婚姻正常（0054）,《渊海子平》女命章：官杀存而不得地主夫星平常但婚姻正常
hun_210,十神,bazi,婚姻状态,女命食伤旺克夫星、官杀不现、桃花引婚恋——有婚而克夫,女命食伤旺克夫星 + 官杀不现 + 桃花红鸾引婚恋 → 有婚而克夫，婚变离异（《女命赋》食伤重者克夫；《三命通会》桃花主外情；0013 食伤5+桃花红鸾）,《女命赋》食伤重者克夫；《三命通会》桃花主外情
hun_401,十神,bazi,婚姻质量,夫妻宫被冲 → 婚姻波折（多婚/不稳信号）,夫妻宫逢冲主波折（《三命通会》夫妻宫论；参考 mingli-skills phase6 6.3）,《三命通会》夫妻宫论
hun_402,十神,bazi,婚姻质量,夫妻宫被合 → 配偶心不在家/他人介入,夫妻宫逢合主配偶心移（《三命通会》；参考 mingli-skills phase6）,《三命通会》
hun_403,十神,bazi,婚姻质量,夫妻宫被刑 → 婚姻矛盾/痛苦,夫妻宫逢刑主矛盾（《三命通会》；参考 mingli-skills phase6）,《三命通会》
hun_408b,十神,bazi,婚姻状态,寡宿临命 + 配偶星得地 + 大运无引动 + 不混杂——婚缘迟/独身倾向（寡宿主孤；混杂者妻缘杂不主独身——0054 已婚）,寡宿华盖主孤——婚缘迟独身（《三命通会》寡宿主孤）,《三命通会》寡宿主孤
hun_410,十神,bazi,婚姻质量,夫妻宫逢害 → 感情冷淡、婚姻隐匿伤害（暗伤隐忍，非骤变冲突）,夫妻宫逢害主感情冷淡/暗伤（《三命通会》夫妻宫论）：害主阴损隐忍，异于刑之矛盾、冲之变动——含蓄忍耐型不顺,《三命通会》夫妻宫论
xg_501,十神,bazi,性格,伤官配印 → 出风头/急性子被收敛，主象内敛有才、涵养、可靠（印系）,"伤官配印：正印透干制伤官（《子平真诠》伤官佩印）——性格取""内敛有才""不取""外向张扬""（fangfa/shishen.md）","《子平真诠》伤官佩印）——性格取""内敛有才""不取""外向张扬""（fangfa/shishen.md）"
xg_502,十神,bazi,性格,七杀有制（食神制杀）→ 有胆识但不鲁莽，冲动被约束,"食神制杀：七杀冲动被化（《三命通会》食神制杀）——主象""有胆识不鲁莽""（fangfa/shishen.md）","《三命通会》食神制杀）——主象""有胆识不鲁莽""（fangfa/shishen.md）"
xg_503,十神,bazi,性格,"枭神夺食 → 情绪压抑、多思多虑、才华被抑（先于""食神生财""取象）",枭神夺食主情绪受抑（《渊海子平》枭神夺食）——先于财象取（fangfa/shishen.md）,《渊海子平》枭神夺食）——先于财象取（fangfa/shishen.md）
xg_504,十神,bazi,性格,"劫财夺财 → 家道中落、钱财留不住、兄弟朋友分财（先于""财星当令""取象）",比劫夺财主财被分（《滴天髓》比劫夺财）——先于财旺取（fangfa/shishen.md）,《滴天髓》比劫夺财）——先于财旺取（fangfa/shishen.md）
xg_601,十神,bazi,性格,日主甲木 → 刚直正义、宁折不弯（阳木）,十干性格基调（参考 mingli-skills phase6 6.6）,《三命通会》十干性情：甲木主刚直正义、宁折不弯
xg_602,十神,bazi,性格,日主乙木 → 柔韧灵活、善变通（阴木）,十干性格基调（参考 mingli-skills phase6）,《三命通会》十干性情：乙木主柔韧灵活、善变通
xg_603,十神,bazi,性格,日主丙火 → 热情慷慨、光明磊落（阳火）,十干性格基调（参考 mingli-skills phase6）,《三命通会》十干性情：丙火主热情慷慨、光明磊落
xg_604,十神,bazi,性格,日主丁火 → 温和谨慎、慢热保守（阴火）,十干性格基调（参考 mingli-skills phase6）,《三命通会》十干性情：丁火主温和谨慎、慢热保守
xg_605,十神,bazi,性格,日主戊土 → 厚重沉稳、固执（阳土）,十干性格基调（参考 mingli-skills phase6）,《三命通会》十干性情：戊土主厚重沉稳、固执
xg_606,十神,bazi,性格,日主己土 → 温和善纳、学习力强（阴土）,十干性格基调（参考 mingli-skills phase6）,《三命通会》十干性情：己土主温和善纳、学习力强
xg_607,十神,bazi,性格,日主庚金 → 刚毅果断、豪侠仗义（阳金）,十干性格基调（参考 mingli-skills phase6）,《三命通会》十干性情：庚金主刚毅果断、豪侠仗义
xg_608,十神,bazi,性格,日主辛金 → 精致温润、外柔内刚（阴金）,十干性格基调（参考 mingli-skills phase6）,《三命通会》十干性情：辛金主精致温润、外柔内刚
xg_609,十神,bazi,性格,日主壬水 → 胸怀开阔、冲劲强（阳水）,十干性格基调（参考 mingli-skills phase6）,《三命通会》十干性情：壬水主胸怀开阔、冲劲强
xg_610,十神,bazi,性格,日主癸水 → 细腻敏锐、适应力强（阴水）,十干性格基调（参考 mingli-skills phase6）,《三命通会》十干性情：癸水主细腻敏锐、适应力强
xg_711,十神,bazi,性格,日主长生在月令——生机旺盛、有活力,日主长生主生机活力（《三命通会》十二长生）,《三命通会》十二长生
xg_712,十神,bazi,性格,日主帝旺在月令——身极强、刚健,日主帝旺主身极强刚健（《三命通会》十二长生）,《三命通会》十二长生
xg_713,十神,bazi,性格,日主墓在月令——收藏内敛,日主墓主收藏内敛（《三命通会》十二长生）,《三命通会》十二长生
xg_714,十神,bazi,性格,日主绝在月令——气衰、消沉,日主绝主气衰消沉（《三命通会》十二长生）,《三命通会》十二长生
xg_m01,十神,bazi,月令主面,温和仁厚、守规矩、重名声（印主内敛）,月令本气为正印 → 性格主面仁厚守礼（《子平真诠》月令提纲主性；印星主德主静）,《子平真诠》月令提纲
xg_m02,十神,bazi,月令主面,内敛敏感、多思机巧、喜独处（枭神主偏）,月令本气为偏印 → 主面内敛敏感机巧（《渊海子平》枭神主偏门智慧、孤僻敏感；pan03/05/09/12/30 评测验证）,《渊海子平》枭神论
xg_m03,十神,bazi,月令主面,聪明外露、爱表现、不拘小节（伤官主表达）,月令本气为伤官 → 主面聪明外露（《子平真诠》伤官主才艺表达）,《子平真诠》伤官
xg_m04,十神,bazi,月令主面,温和知足、善享福、口福好（食神主享）,月令本气为食神 → 主面温和知足（《渊海子平》食神主福禄）,《渊海子平》食神
xg_m05,十神,bazi,月令主面,端正守礼、重规则、负责任（官星主正）,月令本气为正官 → 主面端正守礼（《子平真诠》正官主贵气守正；pan06 评测验证）,《子平真诠》正官
xg_m06a-not1,十神,bazi,月令主面,原则性强、有魄力威严（身强七杀得用）,月令本气为七杀 + 身强 → 主面原则魄力威严（《子平真诠》七杀主威；pan32 身强有原则 评测验证）,《子平真诠》七杀
xg_m06a-not2,十神,bazi,月令主面,原则性强、有魄力威严（身强七杀得用）,月令本气为七杀 + 身强 → 主面原则魄力威严（《子平真诠》七杀主威；pan32 身强有原则 评测验证）,《子平真诠》七杀
xg_m06b,十神,bazi,月令主面,胆小压抑（身弱受制）,月令本气为七杀 + 身弱 → 主面胆小压抑（《子平真诠》七杀主威身弱受制；pan07 身弱胆小 评测验证）,《子平真诠》七杀
xg_m07,十神,bazi,月令主面,务实可靠、重物质、勤俭（正财主实）,月令本气为正财 → 主面务实可靠（《渊海子平》正财主勤俭务实；pan29 评测验证）,《渊海子平》正财
xg_m08,十神,bazi,月令主面,慷慨大方、善交际、豪爽（偏财主阔）,月令本气为偏财 → 主面慷慨善交际（《渊海子平》偏财主豪爽慷慨）,《渊海子平》偏财
xg_m09,十神,bazi,月令主面,自立自强、重朋友、有主见（比肩主自立）,月令本气为比肩 → 主面自立有主见（《渊海子平》比肩主自立）,《渊海子平》比肩
xg_m10,十神,bazi,月令主面,好胜强势、行动力强、仗义（劫财主争强）,月令本气为劫财 → 主面好胜强势（《渊海子平》劫财主争强好胜；pan18/27 评测验证）,《渊海子平》劫财
xue_201,十神,bazi,学历层次,印星得月令而旺 + 官杀得令——官印相生成格，科甲至顶,印星得月令而旺 + 官杀得令（官印相生）→ 科甲至顶（《三命通会》官印相生主科甲；0027）,《三命通会》官印相生主科甲
xue_202,十神,bazi,学历层次,印星透干 + 官杀透干——印绶得用，成学有望,印星透干 + 官杀透干（官印相生）→ 印绶得用成学（《渊海子平》官印相生；0006）,《渊海子平》官印相生
xue_203,十神,bazi,学历层次,原局无印 + 食伤透 + 官杀透——秀气泄才 + 官星引学,原局无印 + 食伤透 + 官杀透 → 秀气泄才 + 官星引学（《三命通会》食伤主才学；0082）,《三命通会》食伤主才学
xue_204,十神,bazi,学历层次,原局无印 + 食伤透而有根——秀气泄才，成学之象,原局无印 + 食伤透而有根 → 秀气泄才成学（《三命通会》食伤主才学；0082）,《三命通会》食伤主才学
xue_205,十神,bazi,学历层次,财透坏印（印绶被财破）——学途中断,财透坏印（印绶被财破）→ 学途中断（《三命通会》财星坏印主学途受阻；0025）；印透者印重走小学（0057）,《三命通会》财星坏印主学途受阻
xue_206,十神,bazi,学历层次,财坏印 + 官杀得令 + 食伤透（泄秀补救）——学可至中学,财坏印 + 官杀得令 + 食伤透（泄秀补救）→ 学至中学（0072）,《三命通会》财坏印学途受阻、食伤泄秀补救
xue_207,十神,bazi,学历层次,财坏印 + 官杀得令 + 无食伤泄秀——压力求学，学历中低,财坏印 + 官杀得令 + 无食伤泄秀 → 压力求学学历中低（0111）,《三命通会》财坏印学途受阻
xue_208,十神,bazi,学历层次,印星旺（杂）主愚 + 官杀得令 + 无食伤泄秀——学历中低,印星旺（杂）主愚 + 官杀得令 + 无食伤泄秀 → 学历中低（《子平真诠》印绶太多则身强印杂；0156）,《子平真诠》印绶太多则身强印杂
xue_209,十神,bazi,学历层次,印星旺而透 + 无官杀生印无食伤泄秀——印多主愚，学途浅,印星旺而透 + 无官杀生印无食伤泄秀 → 印多主愚、学至小学（《渊海子平》枭印夺食主愚；0057）,《渊海子平》枭印夺食主愚
tz_105,十神,bazi,房产,八字财星得地 + 印星旺 → 置业能力（财为房产、印为屋宅庇荫）,财星入墓/得地主房产，印星主屋宅（《三命通会》论田宅）,《三命通会》论田宅）
tz_106b,十神,bazi,房产,财星得地（八字）→ 有置产能力,八字财星得地为财可任（置产能力）——紫微田宅宫看房产（ziwei_tianzhai 承担——双盘对照）,《紫微斗数全书》田宅宫论
cai_103,十神,bazi,财运,有房产/积蓄（财得地藏支）,财得令而藏 → 财星得地，有不动产/积蓄（0104 二间公寓）,《渊海子平》财星论：财得地藏支主有房产/积蓄
cai_105,十神,bazi,财运,财源广进（技艺/口才生财，偏财尤佳）,食伤生财 → 以才华技艺生财，财源不断（《滴天髓》食伤生财）；0103 高收入/0069 忽然赚大钱,《滴天髓》食伤生财）
cai_106,十神,bazi,财运,财来财去，有财难守（比劫夺财但财得地）,比劫夺财 + 财得令（非弱）→ 财来财去、难积蓄（《滴天髓》比劫夺财分两型：财弱=破财无财，财得地=有财被劫）；0128 财来财去,《滴天髓》比劫夺财分两型：财弱=破财无财，财得地=有财被劫）
cai_107,十神,bazi,财运,驿马 + 比劫夺财 → 外出合伙破财（合作散财/异地财损）,驿马主动迁+比劫夺财 → 外出合作易散财（《滴天髓》比劫夺财、驿马迁移）；fangfa/fangfa/caiyun.md 破财细分,《滴天髓》比劫夺财、驿马迁移）
cai_108,十神,bazi,财运,比劫夺财 + 财无根 → 无蓄财观念（钱来钱去），理财/积蓄难,比劫夺财+财无根 → 财来财去无积蓄（《滴天髓》）；田宅吉星只论置产不论理财（fangfa/fangfa/caiyun.md 判据）,《滴天髓》）
cai_109,十神,bazi,财运,身弱财透克印 → 得财即损根基（财为压力非财富，财坏印）,身弱不胜财，财透克印 → 得财损根基（《子平真诠》财坏印；fangfa/fangfa/caiyun.md 财印关系）,《子平真诠》财坏印
