assertion_id,factor,expected
hun_106,性别,male
hun_106,配偶星藏,1
hun_106,比劫重,0
hun_107,大运配偶星,1
hun_107,性别,male
hun_107,配偶星现,0
hun_108,大运配偶星,0
hun_108,性别,male
hun_108,配偶星现,0
hun_201,性别,female
hun_201,夫妻宫破,1
hun_201,配偶星现,0
hun_202,性别,female
hun_202,夫妻宫破,0
hun_202,配偶星现,0
hun_202,桃花,0
hun_203,性别,female
hun_203,配偶星得地,1
hun_203,伤官克官,1
hun_204,性别,female
hun_204,配偶星现,0
hun_204,伤官克官,1
hun_205,性别,female
hun_205,配偶星混杂,1
hun_205,配偶星得地,1
hun_205,伤官克官,0
hun_205,配偶星得令,0
hun_206,配偶星透,0
hun_206,性别,female
hun_206,夫妻宫破,0
hun_206,配偶星混杂,0
hun_206,比劫重,1
hun_206,配偶星得地,1
hun_206,伤官克官,0
hun_206,配偶星得令,0
hun_207,配偶星受克,1
hun_207,性别,female
hun_207,夫妻宫破,1
hun_207,配偶星得地,1
hun_208,寡宿,0
hun_208,性别,female
hun_208,配偶星得地,1
hun_208,伤官克官,0
hun_209,配偶星受克,0
hun_209,性别,female
hun_209,配偶星得地,0
hun_209,配偶星现,1
hun_210,食伤旺,1
hun_210,性别,female
hun_210,配偶星现,0
hun_210,桃花,1
hun_401,夫妻宫被冲,1
hun_402,夫妻宫被合,1
hun_403,夫妻宫被刑,1
hun_408b,大运配偶星,0
hun_408b,寡宿,1
hun_408b,配偶星混杂,0
hun_408b,配偶星得地,1
hun_410,夫妻宫被害,1
xg_501,伤官旺,1
xg_501,印星透,1
xg_502,食神旺,1
xg_502,七杀现,1
xg_503,枭神夺食,1
xg_504,比劫夺财,1
xg_601,日主,甲
xg_602,日主,乙
xg_603,日主,丙
xg_604,日主,丁
xg_605,日主,戊
xg_606,日主,己
xg_607,日主,庚
xg_608,日主,辛
xg_609,日主,壬
xg_610,日主,癸
xg_711,日主长生状态,长生
xg_712,日主长生状态,帝旺
xg_713,日主长生状态,墓
xg_714,日主长生状态,绝
xg_m01,月令本气十神,正印
xg_m02,月令本气十神,偏印
xg_m03,月令本气十神,伤官
xg_m04,月令本气十神,食神
xg_m05,月令本气十神,正官
xg_m06a-not1,身强弱,身强
xg_m06a-not1,月令本气十神,七杀
xg_m06a-not2,身强弱,中和
xg_m06a-not2,月令本气十神,七杀
xg_m06b,身强弱,身弱
xg_m06b,月令本气十神,七杀
xg_m07,月令本气十神,正财
xg_m08,月令本气十神,偏财
xg_m09,月令本气十神,比肩
xg_m10,月令本气十神,劫财
xue_201,印星旺,1
xue_201,官杀得令,1
xue_202,官杀透,1
xue_202,印星透,1
xue_202,财坏印,0
xue_203,官杀透,1
xue_203,印星现,0
xue_203,官杀多,1
xue_204,印星现,0
xue_204,官杀多,1
xue_204,食伤透,1
xue_205,印星透,0
xue_205,财坏印,1
xue_206,官杀得令,1
xue_206,财坏印,1
xue_206,食伤透,1
xue_207,官杀得令,1
xue_207,财坏印,1
xue_207,食伤透,0
xue_208,印星旺,1
xue_208,官杀得令,1
xue_208,食伤透,0
xue_209,官杀透,0
xue_209,印星旺,1
xue_209,官杀得令,0
xue_209,食伤透,0
tz_105,印星旺,1
tz_105,财星得地,1
tz_106b,财星得地,1
cai_103,财星透根,0
cai_103,比劫夺财,0
cai_103,财星得令,1
cai_105,食伤生财,1
cai_105,比劫夺财,0
cai_106,比劫夺财,1
cai_106,财星弱,0
cai_106,财星得令,1
cai_107,比劫夺财,1
cai_107,驿马,1
cai_108,财星透根,0
cai_108,比劫夺财,1
cai_109,身强弱,身弱
cai_109,财坏印,1
cai_109,财星透,1
cai_201,财库现,1
cai_201,财星入墓,1
cai_202,财库现,1
cai_202,财星入墓,0
cai_204,食伤生财,1
cai_204,身强弱,身强
cai_301,正财透,1
cai_302,偏财透,1
cai_303,正财透,1
cai_303,偏财透,1
cy_301,财星透根,0
cy_301,印星旺,1
cai_304,财星现,1
zy_105,官印相生,1
zy_106,比劫旺,1
zy_106,伤官现,1
zy_107,食伤生财,1
xg_201,伤官旺,1
xg_202,劫财旺,1
xg_203,正印旺,1
xg_204,七杀旺,1
xg_205,食神旺,1
xg_206,偏财旺,1
zy_101,偏印旺,1
zy_102,食伤旺,1
zy_102,正财旺,0
zy_103,正财旺,1
zy_104,七杀旺,1
zy_104,偏印旺,0
jk_311,地支三合寅午戌,1
jk_312,地支三合巳酉丑,1
jk_313,地支三合申子辰,1
jk_314,地支三合亥卯未,1
jk_315,地支三会寅卯辰,1
jk_316,地支三会巳午未,1
jk_317,地支三会申酉戌,1
jk_318,地支三会亥子丑,1
zh_101,枭神夺食,1
zh_102,羊刃驾杀,1
zh_103,伤官见官,1
zh_104,食神制杀,1
zh_106,财官双美,1
zh_201,天干五合甲己,1
zh_202,天干五合乙庚,1
zh_203,天干五合丙辛,1
zh_204,天干五合丁壬,1
zh_205,天干五合戊癸,1
zh_206,地支六合子丑,1
zh_207,地支六合寅亥,1
zh_208,地支六合卯戌,1
zh_209,地支六合辰酉,1
zh_210,地支六合巳申,1
zh_211,地支六合午未,1
zh_212,地支三合申子辰,1
zh_213,地支三合亥卯未,1
zh_214,地支三合寅午戌,1
zh_215,地支三合巳酉丑,1
zh_216,地支三会寅卯辰,1
zh_217,地支三会巳午未,1
zh_218,地支三会申酉戌,1
zh_219,地支三会亥子丑,1
zh_220,地支六冲子午,1
zh_221,地支六冲丑未,1
zh_222,地支六冲寅申,1
zh_223,地支六冲卯酉,1
zh_224,地支六冲辰戌,1
zh_225,地支六冲巳亥,1
zh_226,地支六害子未,1
zh_227,地支六害丑午,1
zh_228,地支六害寅巳,1
zh_229,地支六害卯辰,1
zh_230,地支六害申亥,1
zh_231,地支六害酉戌,1
zh_232,地支相刑寅巳申,1
zh_233,地支相刑丑戌未,1
zh_234,地支相刑子卯,1
wai_101-or1,日主五行,木
wai_101-or1,土多,0
wai_101-or1,木旺,1
wai_101-or2,日主五行,木
wai_101-or2,土多,0
wai_101-or2,身强弱,中和
wai_102,日主五行,木
wai_102,土多,0
wai_102,木日主受金克,1
wai_103,日主五行,木
wai_103,土多,1
wai_103,木日主受金克,0
wai_104,日主五行,金
wai_105,金旺,1
wai_106,日主五行,水
wai_107,日主五行,火
wai_108,日主五行,土
wai_109,日主五行,木
wai_109,食伤泄秀,1
wai_109b,日主五行,火
wai_109b,食伤泄秀,1
wai_109c,日主五行,金
wai_109c,食伤泄秀,1
wai_110,印重,1
dy_102a,大运十神类,比劫
dy_102a,身强弱,身强
dy_102b,大运十神类,比劫
dy_102b,身强弱,身弱
dy_102c,大运十神类,比劫
dy_102c,身强弱,中和
dy_103,大运十神类,官杀
dy_104,大运十神类,印星
dy_105,大运十神类,食伤
cai_110,大运十神类,比劫
cai_111,大运十神类,食伤
yj_102,流年支受克,1
ying_h21,流年支受克,1
yliu_101,流年配偶星克,1
yliu_102,流年配偶星冲,1
yliu_103,流年配偶星克,1
yliu_103,流年配偶星透,1
ymar_101,流年配偶星透,1
ymar_101,流年配偶星值宫,1
ymar_102,流年配偶星透,1
ymar_102,流年配偶星换运首年,1
ymar_103,流年配偶星透,1
ymar_103,流年配偶星大运窗口,1
ymar_104,流年配偶星透,1
ymar_104,流年配偶星合会,1
ymar_105,流年配偶星值宫,1
ymar_106,流年配偶星合会,1
ymar_106b,流年配偶星透,1
ymar_106b,流年配偶星值宫,0
ymar_106b,流年配偶星大运窗口,1
ymar_106b,流年配偶星合会,0
ymar_107,流年配偶星冲,1
ymar_108,流年配偶星克,1
ymar_109,流年配偶星克,1
ymar_109,流年配偶星冲,1
ymar_110b,流年配偶星冲,1
ymar_110b,流年配偶星透,1
yx_206,流年母星透,1
yz_101,流年子女星透,1
yz_102,流年子女星克,1
yz_103,流年子女星合会,1
ying_107,流年配偶星克,1
ying_107,流年配偶星冲,1
ying_108,流年配偶星克,1
ymar_110-1,流年干忌神,1
ymar_110-1,本命伤官克官,1
ymar_110-2,流年干忌神,1
ymar_110-2,本命比劫夺财,1
ymar_110-3,流年干忌神,1
ymar_110-3,本命夫妻宫破,1
ymar_111,本命伤官克官,1
ys_103,流年官杀换运首年,1
yliu_104,流年财坏印,1
yx_102,流年财坏印,1
ycai_101,流年财星克,1
ycai_103,流年财星透,1
ycai_104,流年财星合会,1
ycai_105,流年财坏印,1
yj_103,流年财坏印,1
ying_112,流年财坏印,1
ying_114,流年干忌神,1
ying_114,流年财坏印,1
ying_h07,日犯岁君,1
ying_h15,空亡填实,1
ying_h18,三刑流年,1
ying_h18,本命食伤旺,1
ying_h19,三刑流年,1
ying_h19,流年配偶星透,1
ying_h19,本命食伤旺,1
ys_102,天克地冲日柱,1
ys_104,岁运并临,1
ys_105,流年干合日干,1
ys_106,三刑流年,1
yliu_105,天克地冲日柱,1
yliu_107,伏吟流年,1
yliu_108,三刑流年,1
ymar_112,天克地冲日柱,1
ycai_108,天克地冲日柱,1
ycai_109,岁运并临,1
yj_104,天克地冲日柱,1
yj_105,伏吟流年,1
ying_h01,岁运并临,1
ying_h04,天克地冲日柱,1
ying_h09,三刑流年,1
ying_h11,伏吟流年,1
ying_h20,三刑流年,1
ying_h20,年柱干伏吟,1
yg_201,大运干合流年干,1
yg_202,大运支冲流年支,1
yg_203,大运伏吟流年,1
ys_209,流年日主长生状态,长生
ys_210,流年日主长生状态,帝旺
yj_206,流年日主长生状态,墓
yj_207,流年日主长生状态,绝
yj_208,流年日主长生状态,病
ys_101,流年干忌神,1
ys_208,流年支忌神,1
yx_101,流年干忌神,1
ycai_102,流年干忌神,1
yj_101,流年干忌神,1
ying_113,流年干忌神,1
ys_205,流年神煞驿马,1
ys_206,流年神煞天乙贵人,1
ys_207,流年神煞华盖,1
ymar_115,流年神煞红鸾,1
ymar_116,流年神煞天喜,1
ymar_117,流年神煞桃花,1
yx_205,流年神煞驿马,1
ycai_110,流年神煞大耗,1
yj_203,流年神煞劫煞,1
yj_204,流年神煞灾煞,1
yj_205,流年神煞羊刃,1
yj_209,流年神煞病符,1
yj_210,流年神煞丧门,1
yj_211,流年神煞吊客,1
jk_107,金旺,1
jk_109,土旺,1
jk_112,火弱,1
jk_120,木弱,1
jk_114,土弱,1
jk_115,金弱,1
jk_116,水弱,1
jk_201,木旺,1
jk_202,火旺,1
jk_203,水旺,1
xg_701,身强弱,身弱
xg_701,七杀旺,1
xg_702a,印星旺,1
xg_702a,身强弱,身弱
xg_702b-not1,印星旺,1
xg_702b-not1,身强弱,身强
xg_702b-not2,印星旺,1
xg_702b-not2,身强弱,中和
cai_102,比劫旺,1
cai_102,财星弱,1
cai_104,财星旺,1
cai_104,身强弱,身弱
cai_104,财星透根,0
cai_205,财星旺,1
cai_205,身强弱,身弱
cai_205,比劫夺财,1
shi_101,女命官星得地格,1
ge_101,月令格,正官格
ge_101,格神透干,1
ge_101,印星得地,1
ge_102,月令格,正官格
ge_102,格神透干,1
ge_102,印星得地,0
ge_201,月令格,七杀格
ge_201,食神旺,1
ge_202,月令格,七杀格
ge_202,食神旺,0
ge_202,正印旺,0
ge_301,身强弱,身强
ge_301,月令格,正财格
ge_301,格神透干,1
ge_302,身强弱,身弱
ge_302,月令格,正财格
ge_401,月令格,正印格
ge_401,格神透干,1
ge_501,月令格,食神格
ge_501,格神透干,1
ge_601,月令格,伤官格
ge_601,正印旺,1
ge_602,月令格,伤官格
ge_602,正印旺,0
ge_701,月令格,建禄格
ge_702,月令格,月刃格
ge_703,扶抑从格,从财格
ge_704,扶抑从格,从杀格
ge_705,扶抑从格,从儿格
ge_706,杀印相生,1
ge_707,扶抑从格,从旺格
ge_708,扶抑从格,假从旺格
ge_709,扶抑从格,假从杀格
ge_710,扶抑从格,假从财格
ge_711,扶抑从格,假从儿格
ge_801,月令格,偏财格
ge_802,月令格,偏印格
ge_803,月令格,杂格
shi_107,官杀有力,1
shi_107,官印相生,0
shi_107,官杀为用,1
shi_107,食伤旺,0
shi_110,食伤为用,1
shi_111,比劫为用,1
shi_112,身强弱,身弱
shi_112,官杀为忌,1
shi_113,官杀透,0
shi_113,比劫为忌,1
jk_301,官杀有力,1
jk_301,官杀为忌,1
jk_302,食伤旺,1
jk_302,食伤为忌,1
jk_303,印星旺,1
jk_303,印为忌,1
jk_304,比劫旺,1
jk_304,比劫为忌,1
jk_305,财星旺,1
jk_305,财星为忌,1
jk_306,食伤旺,1
jk_306,食伤为用,1
jk_307,印星旺,1
jk_307,印为用,1
jk_308,比劫旺,1
jk_308,比劫为用,1
jk_309,官杀有力,1
jk_309,官杀为用,1
jk_310,财星旺,1
jk_310,财星为用,1
hun_407,寡宿,0
hun_407,配偶星得地,1
hun_407,配偶星为用,1
hun_407,夫妻宫安静,1
hun_408,配偶星得地,1
hun_408,配偶星为忌,1
hun_409,夫妻宫被冲,1
hun_409,配偶星为忌,1
xue_210,印为用,1
cai_101-not1,财星透根,1
cai_101-not1,财星为用,1
cai_101-not1,大运十神类,官杀
cai_101-not2,财星透根,1
cai_101-not2,财星为用,1
cai_101-not2,大运十神类,印星
cai_101-not3,财星透根,1
cai_101-not3,财星为用,1
cai_101-not3,大运十神类,财星
cai_101-not4,财星透根,1
cai_101-not4,财星为用,1
cai_101-not4,大运十神类,食伤
cai_203,官杀为用,1
cai_203,财星旺,1
cai_203,财星为用,1
cai_305,财星为忌,1
shi_114,羊刃,1
jk_319,羊刃,1
hun_211,寡宿,1
hun_211,性别,female
hun_211,桃花,1
hun_404,日支神煞类型,桃花
hun_405,日支神煞类型,驿马
hun_406,日支神煞类型,墓库
xg_301,华盖,1
qy_101,驿马,1
sh_101,桃花,1
sh_104,羊刃,1
sh_105,孤辰寡宿,1
sh_301,天乙贵人,1
sh_302,文昌,1
sh_303,将星,1
sh_310,天德,1
sh_311,月德,1
sh_312,红鸾,1
sh_313,天喜,1
sh_314,血刃,1
sh_315,元辰,1
sh_316,天赦,1
cai_306,羊刃,1
zy_301,印星旺,1
zy_301,华盖,1
zy_301,孤辰寡宿,1
th_101,寒局无火,1
th_102,燥局无水,1
th_103,调候季节,冬
th_104,调候季节,夏
th_201,调候季节,春
th_201,缺火,1
th_202,调候季节,秋
th_202,缺火,1
py_301,仆役宫紫微,1
py_302,仆役宫天机,1
py_303,仆役宫太阳,1
py_304,仆役宫武曲,1
py_305,仆役宫天同,1
py_306,仆役宫廉贞,1
py_307,仆役宫天府,1
py_308,仆役宫太阴,1
py_309,仆役宫贪狼,1
py_310,仆役宫巨门,1
py_311,仆役宫天相,1
py_312,仆役宫天梁,1
py_313,仆役宫七杀,1
py_314,仆役宫破军,1
zw_501,仆役宫煞,1
xd_301,兄弟宫紫微,1
xd_302,兄弟宫天机,1
xd_303,兄弟宫太阳,1
xd_304,兄弟宫武曲,1
xd_305,兄弟宫天同,1
xd_306,兄弟宫廉贞,1
xd_307,兄弟宫天府,1
xd_308,兄弟宫太阴,1
xd_309,兄弟宫贪狼,1
xd_310,兄弟宫巨门,1
xd_311,兄弟宫天相,1
xd_312,兄弟宫天梁,1
xd_313,兄弟宫七杀,1
xd_314,兄弟宫破军,1
zw_401,兄弟宫煞,1
xf_301,命宫左辅,1
xf_302,命宫右弼,1
xf_303,命宫文昌,1
xf_304,命宫文曲,1
xf_305,命宫天魁,1
xf_306,命宫天钺,1
xf_307,命宫禄存,1
xf_308,命宫天马,1
xf_330,命宫文昌庙旺,1
xf_331,命宫文昌陷,1
xf_332,命宫文曲庙旺,1
xf_333,命宫文曲陷,1
xg_七杀命,命宫七杀,1
xg_天同命,命宫天同,1
xg_天府命,命宫天府,1
xg_天机命,命宫天机,1
xg_天梁命,命宫天梁,1
xg_天相命,命宫天相,1
xg_太阳命,命宫太阳,1
xg_太阴命,命宫太阴,1
xg_巨门命,命宫巨门,1
xg_廉贞命,命宫廉贞,1
xg_武曲命,命宫武曲,1
xg_破军命,命宫破军,1
xg_紫微命,命宫紫微,1
xg_贪狼命,命宫贪狼,1
xf_334,命宫化权,1
xf_335,命宫化科,1
xf_336,命宫化忌,1
zw_610,命宫化禄,1
hun_301,贪狼化忌,1
hun_301,性别,male
hun_302,天机独坐夫妻宫,1
zf_301,夫妻宫紫微,1
zf_302,夫妻宫天机,1
zf_303,夫妻宫太阳,1
zf_304,夫妻宫武曲,1
zf_305,夫妻宫天同,1
zf_306,夫妻宫廉贞,1
zf_307,夫妻宫天府,1
zf_308,夫妻宫太阴,1
zf_309,夫妻宫贪狼,1
zf_310,夫妻宫巨门,1
zf_311,夫妻宫天相,1
zf_312,夫妻宫天梁,1
zf_313,夫妻宫七杀,1
zf_314,夫妻宫破军,1
zf_320,夫妻宫化禄,1
zf_321,夫妻宫化科,1
zf_322,夫妻宫左辅,1
zf_323,夫妻宫右弼,1
zf_324,夫妻宫文昌,1
zf_325,夫妻宫文曲,1
zf_326,夫妻宫天魁,1
zf_327,夫妻宫天钺,1
zf_328,夫妻宫禄存,1
zf_329,夫妻宫天马,1
zf_330,夫妻宫化忌,1
zn_301,子女宫紫微,1
zn_302,子女宫天机,1
zn_303,子女宫太阳,1
zn_304,子女宫武曲,1
zn_305,子女宫天同,1
zn_306,子女宫廉贞,1
zn_307,子女宫天府,1
zn_308,子女宫太阴,1
zn_309,子女宫贪狼,1
zn_310,子女宫巨门,1
zn_311,子女宫天相,1
zn_312,子女宫天梁,1
zn_313,子女宫七杀,1
zn_314,子女宫破军,1
zv_101,子女宫吉星,0
zv_101,子女宫煞,1
zv_102,子女宫吉星,1
zv_102,子女宫煞,0
zv_104,子女宫吉星,0
zv_104,子女宫空,1
zv_105,子女宫化忌,1
zv_107,子女宫吉星,1
zv_107,子女宫煞,1
zw_104,子女宫空,1
zs_301,官禄宫紫微,1
zs_302,官禄宫天机,1
zs_303,官禄宫太阳,1
zs_304,官禄宫武曲,1
zs_305,官禄宫天同,1
zs_306,官禄宫廉贞,1
zs_307,官禄宫天府,1
zs_308,官禄宫太阴,1
zs_309,官禄宫贪狼,1
zs_310,官禄宫巨门,1
zs_311,官禄宫天相,1
zs_312,官禄宫天梁,1
zs_313,官禄宫七杀,1
zs_314,官禄宫破军,1
zs_320,官禄宫化权,1
zs_321,官禄宫化科,1
zs_322,官禄宫化忌,1
zw_zy_302,官禄宫煞,1
zw_zy_302,官禄宫主星庙旺,0
zy_201,官禄宫昌曲,1
zw_201,官禄宫化禄,1
zw_202,官禄宫煞,1
zw_202,官禄宫化禄,0
zw_203,官禄宫主星庙旺,1
ypy_201,流年仆役宫禄,1
ypy_202,流年仆役宫忌,1
yxd_201,流年兄弟宫禄,1
yxd_202,流年兄弟宫忌,1
ysz_204,流年命宫科,1
ysz_205,流年命宫忌,1
ymz_201,流年夫妻宫禄,1
ymz_202,流年夫妻宫忌,1
yzz_201,流年子女宫禄,1
yzz_202,流年子女宫忌,1
ysz_201,流年官禄宫权,1
ysz_202,流年官禄宫科,1
ysz_203,流年官禄宫忌,1
yxz_201,流年官禄宫科,1
yxz_202,流年官禄宫权,1
yxz_203,流年官禄宫忌,1
ylz_201,流年父母宫忌,1
ytz_201,流年田宅宫禄,1
ytz_202,流年田宅宫忌,1
yjz_201,流年疾厄宫忌,1
yjz_202,流年福德宫忌,1
ycz_201,流年财帛宫禄,1
ycz_202,流年财帛宫忌,1
yqy_201,流年迁移宫禄,1
yqy_202,流年迁移宫忌,1
zg_301,府相朝垣,1
zg_302,机月同梁,1
zg_303,辅弼拱主,1
zg_304,金灿光辉,1
zg_305,日月反背,1
zg_306,禄马交驰,1
zg_307,紫微朝垣,1
zg_308,财荫夹印,1
zg_309,巨火羊,1
zg_310,刑忌夹印,1
zg_311,杀破狼,1
zg_312,日月并明,1
zg_313,月朗天门,1
zg_314,火贪格,1
zg_315,铃贪格,1
zg_316,阳梁昌禄,1
zg_317,魁钺夹命,1
zg_318,左右夹命,1
zg_319,双禄朝垣,1
zg_320,擎羊入庙,1
zg_321,文星拱命,1
zg_322,日丽中天,1
zg_323,巨日同宫,1
zg_324,巨机同宫,1
zg_325,廉杀同宫,1
zg_326,雄宿乾元,1
fm_301,父母宫紫微,1
fm_302,父母宫天机,1
fm_303,父母宫太阳,1
fm_304,父母宫武曲,1
fm_305,父母宫天同,1
fm_306,父母宫廉贞,1
fm_307,父母宫天府,1
fm_308,父母宫太阴,1
fm_309,父母宫贪狼,1
fm_310,父母宫巨门,1
fm_311,父母宫天相,1
fm_312,父母宫天梁,1
fm_313,父母宫七杀,1
fm_314,父母宫破军,1
fm_315,父母宫左辅,1
fm_316,父母宫右弼,1
fm_317,父母宫文昌,1
fm_318,父母宫文曲,1
fm_319,父母宫天魁,1
fm_320,父母宫天钺,1
fm_321,父母宫禄存,1
fm_322,父母宫天马,1
zw_301,父母宫煞,1
zw_302,父母宫化忌,1
tz_101,田宅宫财星,1
tz_102,田宅宫化禄,1
tz_103,田宅宫财星,0
tz_103,田宅宫煞,1
tz_104,田宅宫财星,0
tz_104,田宅宫主星陷,1
zt_301,田宅宫紫微,1
zt_302,田宅宫天机,1
zt_303,田宅宫太阳,1
zt_304,田宅宫武曲,1
zt_305,田宅宫天同,1
zt_306,田宅宫廉贞,1
zt_307,田宅宫天府,1
zt_308,田宅宫太阴,1
zt_309,田宅宫贪狼,1
zt_310,田宅宫巨门,1
zt_311,田宅宫天相,1
zt_312,田宅宫天梁,1
zt_313,田宅宫七杀,1
zt_314,田宅宫破军,1
zt_315,田宅宫左辅,1
zt_316,田宅宫右弼,1
zt_317,田宅宫文昌,1
zt_318,田宅宫文曲,1
zt_319,田宅宫天魁,1
zt_320,田宅宫天钺,1
zt_321,田宅宫禄存,1
zt_322,田宅宫天马,1
zj_301,疾厄宫紫微,1
zj_302,疾厄宫天机,1
zj_303,疾厄宫太阳,1
zj_304,疾厄宫武曲,1
zj_305,疾厄宫天同,1
zj_306,疾厄宫廉贞,1
zj_307,疾厄宫天府,1
zj_308,疾厄宫太阴,1
zj_309,疾厄宫贪狼,1
zj_310,疾厄宫巨门,1
zj_311,疾厄宫天相,1
zj_312,疾厄宫天梁,1
zj_313,疾厄宫七杀,1
zj_314,疾厄宫破军,1
zw_101,疾厄宫主星陷,1
zw_101,疾厄宫化忌,1
zw_601,疾厄宫化忌,1
fd_301,福德宫紫微,1
fd_302,福德宫天机,1
fd_303,福德宫太阳,1
fd_304,福德宫武曲,1
fd_305,福德宫天同,1
fd_306,福德宫廉贞,1
fd_307,福德宫天府,1
fd_308,福德宫太阴,1
fd_309,福德宫贪狼,1
fd_310,福德宫巨门,1
fd_311,福德宫天相,1
fd_312,福德宫天梁,1
fd_313,福德宫七杀,1
fd_314,福德宫破军,1
fd_315,福德宫左辅,1
fd_316,福德宫右弼,1
fd_317,福德宫文昌,1
fd_318,福德宫文曲,1
fd_319,福德宫天魁,1
fd_320,福德宫天钺,1
fd_321,福德宫禄存,1
fd_322,福德宫天马,1
zc_301,财帛宫紫微,1
zc_302,财帛宫天机,1
zc_303,财帛宫太阳,1
zc_304,财帛宫武曲,1
zc_305,财帛宫天同,1
zc_306,财帛宫廉贞,1
zc_307,财帛宫天府,1
zc_308,财帛宫太阴,1
zc_309,财帛宫贪狼,1
zc_310,财帛宫巨门,1
zc_311,财帛宫天相,1
zc_312,财帛宫天梁,1
zc_313,财帛宫七杀,1
zc_314,财帛宫破军,1
zc_320,财帛宫禄存,1
zc_321,财帛宫化禄,1
zc_322,财帛宫化忌,1
zw_103,财帛宫煞,1
qy_102,迁移宫得动星,1
qy_103,迁移宫空,1
qy_105,迁移宫化禄,1
zq_301,迁移宫紫微,1
zq_302,迁移宫天机,1
zq_303,迁移宫太阳,1
zq_304,迁移宫武曲,1
zq_305,迁移宫天同,1
zq_306,迁移宫廉贞,1
zq_307,迁移宫天府,1
zq_308,迁移宫太阴,1
zq_309,迁移宫贪狼,1
zq_310,迁移宫巨门,1
zq_311,迁移宫天相,1
zq_312,迁移宫天梁,1
zq_313,迁移宫七杀,1
zq_314,迁移宫破军,1
zq_320,迁移宫天马,1
xg_505,伤官见官,1
xg_506,偏印旺,1
xg_507,食伤透,1
xg_507,印星透,1
xg_508,印星旺,1
xg_508,财坏印,1
cai_311,偏印旺,1
cai_311,比劫旺,1
cai_311,驿马,1
zj_320,疾厄宫天同,1
zj_320,疾厄宫天梁,1
yj_220,本命七杀旺,1
